Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
SRF,1,0.997,2.865,5.534,1.13,1.004,1.238,2.254,1.077,-0.078,0.095,0.611,1.932,-2.69,LONG BUILD,LONG BUILD,ABOVE,ABOVE
POLICYBZR,2,0.995,2.187,4.69,1.448,0.651,-5.003,-4.384,1.313,-0.203,1.853,1.118,2.144,-16.47,SHORT BUILD,SHORT BUILD,BELOW,BELOW
PNBHOUSING,3,0.977,3.201,1.369,1.051,-1.049,0.526,-0.529,1.039,-0.654,0.331,0.621,0.428,7.3,SHORT BUILD,LONG BUILD,BELOW,BELOW
MAZDOCK,4,0.95,0.691,0.844,1.077,0.771,-1.872,-1.116,1.047,-0.981,0.223,0.892,1.222,-14.5,SHORT BUILD,SHORT BUILD,BELOW,BELOW
TVSMOTOR,5,0.948,0.912,2.865,1.031,0.422,2.247,2.678,1.027,0.229,0.117,0.638,3.141,1.91,LONG BUILD,LONG BUILD,ABOVE,ABOVE
FORTIS,6,0.933,0.584,1.661,1.03,0.77,2.052,2.838,1.021,0.554,0.034,0.898,2.842,1.86,LONG BUILD,LONG BUILD,ABOVE,INSIDE
MFSL,7,0.931,0.366,1.878,1.05,-0.504,3.034,2.514,1.042,1.023,1.31,0.73,5.13,-12.38,LONG BUILD,LONG BUILD,ABOVE,ABOVE
PNB,8,0.926,0.559,1.271,1.033,0.0,1.027,1.027,1.028,-0.43,0.415,0.763,2.273,1.97,LONG BUILD,LONG BUILD,ABOVE,ABOVE
CGPOWER,9,0.901,0.385,0.764,1.037,0.875,0.931,1.814,1.014,0.053,0.013,0.815,1.985,-5.95,LONG BUILD,LONG BUILD,ABOVE,BELOW
POWERINDIA,10,0.899,0.46,0.86,1.03,0.778,0.789,1.573,1.013,-0.326,0.386,0.634,1.871,-1.91,LONG BUILD,LONG BUILD,ABOVE,BELOW
NAM-INDIA,11,0.885,0.377,0.621,1.038,-0.098,-0.525,-0.623,1.026,0.13,0.633,1.04,1.645,-11.66,SHORT BUILD,SHORT BUILD,BELOW,BELOW
MOTILALOFS,12,0.883,0.316,0.803,1.043,0.0,1.69,1.69,1.025,-0.287,0.023,0.441,2.539,-2.21,LONG BUILD,LONG BUILD,ABOVE,BELOW
SONACOMS,13,0.872,0.487,0.91,1.02,-0.781,2.887,2.083,1.004,0.734,1.091,1.198,1.869,-9.22,LONG BUILD,LONG BUILD,ABOVE,BELOW
ETERNAL,14,0.855,1.053,1.176,1.013,0.41,2.419,2.839,1.01,0.32,0.494,0.495,1.116,-1.74,LONG BUILD,LONG BUILD,ABOVE,ABOVE
RBLBANK,15,0.853,0.365,0.627,1.025,-0.248,1.737,1.485,1.028,0.11,0.437,0.617,1.718,6.73,LONG BUILD,LONG BUILD,ABOVE,BELOW
