Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
MFSL,1,0.999,22.735,24.565,1.858,-9.994,-0.405,-10.359,1.616,0.213,0.338,0.875,1.08,13.72,SHORT BUILD,SHORT BUILD,BELOW,BELOW
ICICIPRULI,2,0.989,9.435,7.041,1.307,-6.708,4.204,-2.786,1.166,2.365,0.287,1.671,0.746,11.73,SHORT BUILD,LONG BUILD,BELOW,BELOW
ICICIGI,3,0.981,2.615,14.169,1.269,-1.913,6.665,4.625,1.258,0.932,0.295,1.064,5.418,16.98,LONG BUILD,LONG BUILD,ABOVE,ABOVE
LTF,4,0.979,5.661,4.344,1.279,-10.0,2.151,-8.065,1.134,-0.391,0.053,1.28,0.767,-11.47,SHORT BUILD,LONG BUILD,BELOW,BELOW
SBILIFE,5,0.978,6.243,8.822,1.216,-2.841,3.041,0.114,1.175,-0.191,0.104,0.727,1.413,8.87,LONG BUILD,LONG BUILD,ABOVE,ABOVE
CHOLAFIN,6,0.973,2.665,6.909,1.247,-8.117,3.681,-4.735,1.162,0.208,0.105,1.609,2.592,0.1,SHORT BUILD,LONG BUILD,BELOW,BELOW
AXISBANK,7,0.957,2.356,2.641,1.249,-1.448,-3.281,-4.681,1.193,-0.925,0.127,0.602,1.121,2.36,SHORT BUILD,SHORT BUILD,BELOW,BELOW
HDFCLIFE,8,0.953,7.218,12.162,1.111,-5.432,0.188,-5.254,1.104,1.223,0.07,0.801,1.685,14.18,SHORT BUILD,LONG BUILD,BELOW,BELOW
POLICYBZR,9,0.944,1.259,4.088,2.263,-9.998,-20.068,-28.06,1.783,-4.192,1.835,1.971,3.248,-6.05,SHORT BUILD,SHORT BUILD,BELOW,BELOW
INDUSINDBK,10,0.943,2.17,3.927,1.144,-4.305,0.654,-3.68,1.076,0.489,0.144,1.366,1.809,8.74,SHORT BUILD,LONG BUILD,BELOW,BELOW
CIPLA,11,0.937,1.487,3.616,1.183,-0.578,2.545,1.952,1.176,0.965,0.17,0.632,2.432,8.66,LONG BUILD,LONG BUILD,ABOVE,ABOVE
MCX,12,0.92,1.591,2.118,1.138,-0.267,2.318,2.045,1.08,0.684,1.322,0.686,1.331,5.88,LONG BUILD,LONG BUILD,ABOVE,ABOVE
AUBANK,13,0.918,1.999,1.923,1.138,-1.795,-2.137,-3.894,1.116,0.36,0.58,0.792,0.962,7.18,SHORT BUILD,SHORT BUILD,BELOW,BELOW
BAJAJFINSV,14,0.912,1.456,1.886,1.145,-1.543,-2.42,-3.926,1.094,-0.681,0.06,1.134,1.295,-6.64,SHORT BUILD,SHORT BUILD,BELOW,BELOW
YESBANK,15,0.903,1.73,1.804,1.117,-0.688,-4.679,-5.336,1.101,-2.525,0.091,0.522,1.043,-0.35,SHORT BUILD,SHORT BUILD,BELOW,BELOW
