Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
POLICYBZR,1,0.992,2.253,10.902,2.341,-3.91,-0.862,-4.738,1.302,-2.589,14.217,1.208,4.838,5.15,SHORT BUILD,SHORT BUILD,BELOW,BELOW
FORTIS,2,0.98,1.23,10.502,1.358,0.091,-3.547,-3.459,1.351,-1.021,0.779,1.47,8.535,-6.48,SHORT BUILD,SHORT BUILD,BELOW,BELOW
OFSS,3,0.959,2.584,6.585,1.156,-1.309,-2.05,-3.332,1.116,0.475,0.805,1.783,2.548,-6.74,SHORT BUILD,SHORT BUILD,BELOW,BELOW
HYUNDAI,4,0.958,3.048,9.763,1.15,-0.024,2.374,2.349,1.201,-0.263,0.763,0.65,3.203,-3.88,LONG BUILD,LONG BUILD,ABOVE,BELOW
GLENMARK,5,0.957,1.006,3.014,1.207,-0.222,-1.237,-1.457,1.205,0.197,0.434,0.446,2.995,-13.21,SHORT BUILD,SHORT BUILD,BELOW,INSIDE
ZYDUSLIFE,6,0.925,1.004,2.488,1.146,0.441,1.054,1.5,1.146,0.11,0.234,0.472,2.477,-4.36,LONG BUILD,LONG BUILD,ABOVE,ABOVE
AMBUJACEM,7,0.907,0.894,0.913,1.241,-0.495,0.471,-0.026,1.241,-0.107,0.464,0.61,1.021,0.93,SHORT BUILD,LONG BUILD,BELOW,BELOW
PAYTM,8,0.897,0.836,2.134,1.136,-0.173,-3.434,-3.601,1.141,-0.796,0.877,1.171,2.552,9.51,SHORT BUILD,SHORT BUILD,BELOW,BELOW
POWERINDIA,9,0.852,1.398,2.836,1.086,0.912,-0.081,0.83,1.052,-0.663,0.474,0.681,2.028,1.12,LONG BUILD,SHORT BUILD,ABOVE,BELOW
BAJAJHLDNG,10,0.851,0.893,2.0,1.094,0.073,-0.943,-0.87,1.068,-0.141,1.398,1.37,2.239,12.1,SHORT BUILD,SHORT BUILD,BELOW,BELOW
TMPV,11,0.85,2.51,1.268,1.09,0.678,-2.694,-2.034,1.068,-1.318,0.689,0.708,0.505,13.71,SHORT BUILD,SHORT BUILD,BELOW,BELOW
ADANIPOWER,12,0.832,0.57,1.197,1.183,0.261,0.5,0.762,1.159,0.505,0.602,0.606,2.1,-4.62,LONG BUILD,LONG BUILD,INSIDE,BELOW
CIPLA,13,0.821,0.578,0.917,1.183,0.279,-0.207,0.071,1.142,-0.657,0.343,0.456,1.586,-23.99,LONG BUILD,SHORT BUILD,ABOVE,ABOVE
GAIL,14,0.802,0.647,0.882,1.13,0.029,-1.093,-1.064,1.115,-0.411,0.39,0.529,1.363,-0.03,SHORT BUILD,SHORT BUILD,BELOW,INSIDE
INDHOTEL,15,0.8,0.7,0.869,1.109,-0.37,-0.289,-0.659,1.112,-0.168,0.456,0.585,1.242,-4.05,SHORT BUILD,SHORT BUILD,BELOW,BELOW
