Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
SOLARINDS,1,0.997,7.837,14.424,1.853,0.135,-13.71,-13.594,1.8,-4.796,0.087,1.557,1.841,0.0,SHORT BUILD,SHORT BUILD,BELOW,BELOW
MPHASIS,2,0.977,5.608,17.602,1.083,2.527,0.935,3.486,1.065,-1.317,0.105,0.679,3.139,0.0,LONG BUILD,LONG BUILD,ABOVE,ABOVE
BEL,3,0.95,1.613,4.129,1.138,-0.581,-3.731,-4.291,1.127,-1.165,0.351,0.837,2.56,0.0,SHORT BUILD,SHORT BUILD,BELOW,BELOW
DELHIVERY,4,0.934,3.445,3.208,1.063,0.0,-3.872,-3.872,1.054,-0.465,0.334,2.591,0.931,0.0,SHORT BUILD,SHORT BUILD,BELOW,BELOW
TATACONSUM,5,0.918,1.394,2.344,1.102,-0.091,0.091,0.0,1.096,-0.842,0.202,1.737,1.681,0.0,SHORT BUILD,LONG BUILD,BELOW,BELOW
COFORGE,6,0.912,1.484,2.097,1.087,2.21,-6.056,-3.981,1.084,-2.27,0.509,1.331,1.413,0.0,SHORT BUILD,SHORT BUILD,BELOW,BELOW
POWERINDIA,7,0.888,1.375,2.188,1.071,-0.557,-3.743,-4.279,1.054,-1.368,0.726,0.714,1.591,0.0,SHORT BUILD,SHORT BUILD,BELOW,BELOW
ABCAPITAL,8,0.885,1.251,1.801,1.085,0.038,-3.834,-3.797,1.06,-1.887,0.245,1.859,1.439,0.0,SHORT BUILD,SHORT BUILD,BELOW,BELOW
CGPOWER,9,0.88,1.194,2.669,1.079,0.0,-4.84,-4.84,1.076,-1.297,0.636,0.88,2.235,0.0,SHORT BUILD,SHORT BUILD,BELOW,BELOW
INDHOTEL,10,0.859,1.878,1.596,1.055,0.765,-1.105,-0.348,1.049,-1.577,0.356,0.669,0.85,0.0,SHORT BUILD,SHORT BUILD,INSIDE,BELOW
NAUKRI,11,0.846,2.691,2.997,1.031,1.383,0.702,2.095,1.019,-0.684,0.139,0.656,1.114,0.0,LONG BUILD,LONG BUILD,ABOVE,INSIDE
GVT&D,12,0.842,1.216,1.374,1.085,-0.618,-6.482,-7.06,1.08,-2.667,0.942,1.019,1.13,0.0,SHORT BUILD,SHORT BUILD,BELOW,BELOW
TECHM,13,0.832,1.121,2.639,1.057,3.05,-0.441,2.596,1.051,-1.794,0.128,0.597,2.354,0.0,LONG BUILD,SHORT BUILD,ABOVE,ABOVE
ICICIGI,14,0.831,1.032,1.881,1.079,0.014,-2.123,-2.11,1.062,-0.535,0.254,1.021,1.823,0.0,SHORT BUILD,SHORT BUILD,BELOW,BELOW
GRASIM,15,0.817,1.716,1.705,1.036,-0.567,-2.246,-2.8,0.989,-0.62,0.059,0.635,0.994,0.0,SHORT BUILD,LONG UNWIND,BELOW,BELOW
