Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
FORCEMOT,1,0.999,2.832,7.216,1.16,0.369,2.802,3.181,1.118,0.205,0.512,0.45,2.548,-8.44,LONG BUILD,LONG BUILD,ABOVE,ABOVE
DIXON,2,0.975,1.412,2.743,1.134,0.0,-2.463,-2.463,1.09,-0.494,0.874,0.724,1.943,10.87,SHORT BUILD,SHORT BUILD,BELOW,BELOW
OIL,3,0.97,1.274,2.771,1.155,0.992,-1.171,-0.19,1.066,-1.88,0.201,0.417,2.174,-8.65,SHORT BUILD,SHORT BUILD,BELOW,ABOVE
HYUNDAI,4,0.937,1.272,2.13,1.062,0.257,1.554,1.815,1.033,0.608,0.111,0.717,1.675,-7.93,LONG BUILD,LONG BUILD,ABOVE,ABOVE
IDEA,5,0.925,1.48,1.313,1.064,1.16,-4.459,-3.351,1.041,-1.704,0.133,0.455,0.887,1.19,SHORT BUILD,SHORT BUILD,BELOW,ABOVE
INDIGO,6,0.914,1.423,1.973,1.042,-0.211,-0.614,-0.824,1.043,0.316,0.061,0.717,1.387,-1.76,SHORT BUILD,SHORT BUILD,BELOW,BELOW
PNB,7,0.914,1.168,2.737,1.051,-0.095,1.299,1.202,1.038,-0.417,0.291,0.72,2.344,-7.64,LONG BUILD,LONG BUILD,ABOVE,ABOVE
LODHA,8,0.913,0.961,1.703,1.141,-0.18,0.266,0.086,1.124,0.723,1.208,2.241,1.772,14.74,LONG BUILD,LONG BUILD,BELOW,BELOW
TATAELXSI,9,0.9,0.899,2.347,1.059,0.03,0.857,0.887,1.02,-0.303,0.722,0.952,2.609,13.08,LONG BUILD,LONG BUILD,INSIDE,BELOW
CHOLAFIN,10,0.882,1.486,2.433,1.026,-0.104,1.527,1.422,1.023,0.411,0.101,1.009,1.637,9.72,LONG BUILD,LONG BUILD,ABOVE,ABOVE
PERSISTENT,11,0.878,0.883,1.82,1.053,-0.268,2.322,2.048,1.009,0.552,0.148,0.742,2.063,-3.31,LONG BUILD,LONG BUILD,ABOVE,BELOW
DRREDDY,12,0.876,2.104,1.22,1.039,-0.437,-0.088,-0.524,1.022,-0.057,0.076,1.002,0.58,4.62,SHORT BUILD,SHORT BUILD,BELOW,BELOW
ONGC,13,0.867,0.841,1.421,1.063,0.889,-0.466,0.419,1.038,-1.09,0.745,0.347,1.69,14.77,LONG BUILD,SHORT BUILD,INSIDE,INSIDE
TECHM,14,0.866,0.699,2.233,1.062,0.259,0.536,0.796,1.027,-0.545,0.285,1.034,3.193,-12.37,LONG BUILD,LONG BUILD,ABOVE,BELOW
GODREJPROP,15,0.864,0.908,1.563,1.048,-0.382,0.973,0.587,1.029,0.748,0.874,1.544,1.722,11.63,LONG BUILD,LONG BUILD,INSIDE,BELOW
