Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
PATANJALI,1,0.999,2.445,7.19,1.37,0.545,4.336,4.905,1.327,0.799,1.208,0.437,2.941,7.91,LONG BUILD,LONG BUILD,ABOVE,ABOVE
OFSS,2,0.992,1.85,5.652,1.3,-0.916,-5.616,-6.481,1.276,-1.369,1.142,1.086,3.056,11.93,SHORT BUILD,SHORT BUILD,BELOW,BELOW
GMRAIRPORT,3,0.982,0.875,2.379,1.108,1.913,-2.174,-0.302,1.072,-0.602,1.313,0.818,2.72,15.86,SHORT BUILD,SHORT BUILD,ABOVE,ABOVE
MANKIND,4,0.972,0.537,7.898,1.212,0.522,3.602,4.142,1.196,0.622,0.22,0.542,14.716,-8.41,LONG BUILD,LONG BUILD,ABOVE,ABOVE
KPITTECH,5,0.961,0.608,1.226,1.178,0.752,-0.933,-0.188,1.07,-0.058,1.727,0.905,2.019,26.51,SHORT BUILD,SHORT BUILD,BELOW,BELOW
INDHOTEL,6,0.95,0.565,1.637,1.076,2.088,-0.14,1.945,1.051,-0.215,0.004,0.516,2.895,-2.12,LONG BUILD,SHORT BUILD,ABOVE,ABOVE
BSE,7,0.943,0.603,1.013,1.078,-0.257,-2.486,-2.737,1.054,-0.838,0.044,0.66,1.681,9.53,SHORT BUILD,SHORT BUILD,BELOW,BELOW
VOLTAS,8,0.935,0.852,2.911,1.035,1.269,2.133,3.43,1.027,0.074,0.998,0.798,3.414,24.24,LONG BUILD,LONG BUILD,ABOVE,BELOW
ICICIGI,9,0.928,0.416,1.891,1.055,0.123,3.089,3.217,1.055,0.707,0.636,0.684,4.55,22.79,LONG BUILD,LONG BUILD,ABOVE,ABOVE
PHOENIXLTD,10,0.927,0.438,1.512,1.064,1.331,0.531,1.869,1.042,-0.29,0.789,0.477,3.453,23.26,LONG BUILD,LONG BUILD,ABOVE,ABOVE
TATAELXSI,11,0.921,0.699,0.718,1.055,1.231,-0.904,0.315,1.036,-0.239,1.346,0.937,1.027,23.51,LONG BUILD,SHORT BUILD,BELOW,BELOW
RVNL,12,0.91,0.575,1.151,1.036,-0.131,-2.341,-2.469,1.044,-1.187,2.158,0.525,2.001,23.69,SHORT BUILD,SHORT BUILD,INSIDE,ABOVE
RADICO,13,0.902,0.352,1.683,1.054,-1.332,-1.363,-2.677,1.035,-0.12,1.166,0.467,4.784,36.68,SHORT BUILD,SHORT BUILD,BELOW,INSIDE
BOSCHLTD,14,0.896,0.325,1.08,1.075,0.979,1.264,2.255,1.04,0.147,1.144,0.986,3.326,8.98,LONG BUILD,LONG BUILD,ABOVE,BELOW
SUNPHARMA,15,0.895,0.367,2.155,1.04,-0.278,2.827,2.542,1.043,0.302,0.706,0.512,5.87,6.17,LONG BUILD,LONG BUILD,ABOVE,ABOVE
