Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
RBLBANK,1,0.986,2.453,9.437,1.207,0.472,4.625,5.119,1.21,2.139,0.489,0.639,3.848,-26.22,LONG BUILD,LONG BUILD,ABOVE,ABOVE
KAYNES,2,0.986,2.52,4.424,1.437,-1.397,-4.001,-5.342,1.406,-1.401,1.141,0.559,1.756,1.44,SHORT BUILD,SHORT BUILD,BELOW,INSIDE
PIIND,3,0.981,2.669,17.831,1.122,1.856,1.907,3.799,1.086,0.42,0.205,0.542,6.682,-27.25,LONG BUILD,LONG BUILD,ABOVE,ABOVE
LTM,4,0.976,2.579,6.495,1.123,-2.171,-0.695,-2.85,1.096,0.528,0.421,0.846,2.518,-15.03,SHORT BUILD,SHORT BUILD,BELOW,BELOW
CONCOR,5,0.976,1.807,5.863,1.229,0.503,-4.597,-4.117,1.197,-1.391,1.064,0.629,3.244,-24.21,SHORT BUILD,SHORT BUILD,BELOW,BELOW
PAGEIND,6,0.958,1.607,7.517,1.129,0.501,2.823,3.338,1.136,0.266,0.094,0.635,4.677,-24.33,LONG BUILD,LONG BUILD,ABOVE,ABOVE
TATAELXSI,7,0.953,1.649,3.57,1.18,0.243,-2.276,-2.038,1.146,0.017,0.111,0.704,2.165,-8.97,SHORT BUILD,SHORT BUILD,BELOW,BELOW
VMM,8,0.935,1.478,4.326,1.12,0.344,1.961,2.312,1.116,1.246,0.087,0.576,2.927,-12.08,LONG BUILD,LONG BUILD,ABOVE,ABOVE
COALINDIA,9,0.933,2.992,3.816,1.065,2.411,0.777,3.207,1.069,0.439,0.278,0.589,1.275,-5.39,LONG BUILD,LONG BUILD,ABOVE,ABOVE
BPCL,10,0.928,1.74,3.402,1.086,0.719,-0.635,0.08,1.073,0.086,0.137,0.796,1.955,-14.33,LONG BUILD,SHORT BUILD,INSIDE,ABOVE
VOLTAS,11,0.905,1.47,2.05,1.154,0.079,-3.762,-3.686,1.14,-1.313,0.012,0.708,1.395,-34.36,SHORT BUILD,SHORT BUILD,BELOW,BELOW
OIL,12,0.891,1.168,3.689,1.106,-0.366,-2.014,-2.373,1.095,-0.239,0.043,0.923,3.16,-5.8,SHORT BUILD,SHORT BUILD,BELOW,BELOW
SWIGGY,13,0.891,1.609,2.715,1.057,0.11,4.029,4.144,1.032,1.429,0.891,0.811,1.687,-18.37,LONG BUILD,LONG BUILD,ABOVE,ABOVE
INDUSTOWER,14,0.881,1.107,2.489,1.128,0.0,1.152,1.152,1.129,1.045,0.029,0.508,2.249,-16.3,LONG BUILD,LONG BUILD,ABOVE,ABOVE
PATANJALI,15,0.881,1.182,1.874,1.369,-0.555,2.538,1.969,1.116,-0.387,2.203,0.583,1.585,-28.63,LONG BUILD,LONG BUILD,ABOVE,ABOVE
