Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:20,09:30,09:50,10:10,10:20,10:30,10:50,11:00,11:10,11:20,11:40,12:00,12:20,12:30,12:50,13:00,13:20,13:30,13:50,14:00,14:20,14:30
360ONE,PRICE,1091.0,1094.9,,,,,1087.98,1081.95,1154.2,1142.73,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0,1091.0
360ONE,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360ONE,CASH VOL,835305,839166,235871,53.91,61.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
360ONE,F&O VOL,6692,4688,,,,,,,,,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692,6692
360ONE,F&O OI,16679,16679,,,,,,,,,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791,16791
360ONE,CALL VOL,2875,1797,,,,,,,,,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875,2875
360ONE,CALL OI,2419,2419,,,,,,,,,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782
360ONE,PUT VOL,1463,900,,,,,,,,,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463
360ONE,PUT OI,3177,3177,,,,,,,,,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122,3122
ABB,PRICE,7274.0,7329.0,,,,,7265.5,7248.5,7395.5,7366.5,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0,7274.0
ABB,VWAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,CASH VOL,192422,93304,58733,49.7,50.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,F&O VOL,16932,8151,,,,,,,,,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932,16932
ABB,F&O OI,27227,27227,,,,,,,,,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605,27605
ABB,CALL VOL,6669,3685,,,,,,,,,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669,6669
ABB,CALL OI,4460,4460,,,,,,,,,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577,4577
ABB,PUT VOL,6774,2061,,,,,,,,,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774,6774
