Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
PAYTM,1,0.994,1.042,0.501,1.125,5.78,-4.536,0.983,1.0,-2.03,1.546,0.617,0.481,7.52,LONG BUILD,LONG UNWIND,INSIDE,INSIDE
POWERINDIA,2,0.978,0.221,0.694,1.053,-1.591,-1.667,-3.232,1.0,-0.733,0.319,0.89,3.144,10.44,SHORT BUILD,LONG UNWIND,BELOW,BELOW
YESBANK,3,0.973,0.386,0.349,1.041,2.211,-2.46,-0.303,1.0,-3.645,1.087,0.568,0.904,2.55,SHORT BUILD,LONG UNWIND,BELOW,BELOW
NESTLEIND,4,0.971,0.191,1.026,1.051,0.529,1.665,2.203,1.0,0.176,0.79,0.799,5.362,4.27,LONG BUILD,SHORT COVER,ABOVE,INSIDE
BDL,5,0.957,0.206,0.293,1.046,-0.317,-1.626,-1.938,1.0,-0.319,1.426,1.027,1.425,5.96,SHORT BUILD,LONG UNWIND,BELOW,BELOW
SOLARINDS,6,0.948,0.143,0.413,1.401,0.779,-3.582,-2.831,1.0,-0.946,5.818,1.537,2.889,-14.17,SHORT BUILD,LONG UNWIND,BELOW,BELOW
HEROMOTOCO,7,0.91,0.279,0.669,1.015,0.658,1.827,2.497,1.0,0.319,1.017,0.578,2.397,5.19,LONG BUILD,SHORT COVER,ABOVE,ABOVE
MAZDOCK,8,0.893,0.166,0.304,1.017,0.0,0.0,0.0,1.0,-0.479,1.491,1.0,1.837,6.73,SHORT BUILD,LONG UNWIND,BELOW,BELOW
DIXON,9,0.88,0.159,0.245,1.016,-1.48,0.285,-1.199,1.0,-0.401,0.788,0.922,1.547,6.88,SHORT BUILD,SHORT COVER,BELOW,BELOW
IRFC,10,0.868,0.149,0.154,1.028,0.328,-0.516,-0.19,1.0,-0.429,1.089,0.913,1.04,0.81,SHORT BUILD,LONG UNWIND,BELOW,BELOW
SBIN,11,0.858,0.113,0.182,1.034,0.826,0.512,1.343,1.0,0.167,1.081,0.844,1.615,6.27,LONG BUILD,SHORT COVER,INSIDE,BELOW
UNOMINDA,12,0.856,0.113,0.264,1.024,0.371,0.773,1.147,1.0,-0.072,1.54,1.175,2.331,4.45,LONG BUILD,SHORT COVER,INSIDE,BELOW
BHARATFORG,13,0.856,0.148,0.163,1.022,0.096,-0.585,-0.49,1.0,-0.33,1.155,1.394,1.102,7.46,SHORT BUILD,LONG UNWIND,BELOW,BELOW
MCX,14,0.845,0.109,0.187,1.029,-0.104,-2.025,-2.127,1.0,-0.932,0.826,0.979,1.726,3.13,SHORT BUILD,LONG UNWIND,BELOW,BELOW
MARICO,15,0.843,0.126,0.462,1.014,0.537,1.069,1.611,1.0,0.07,0.769,1.034,3.659,5.73,LONG BUILD,SHORT COVER,ABOVE,BELOW
