Symbol,Metric,PrevDay,PrevDay2,PrevLastHr,DelivPct,DelivPctPrev,Open,dTC,dBC,wTC,wBC,09:10,09:20
LAURUSLABS,F&O VOL,42414,74679,,,,,,,,,1557,3302
LAURUSLABS,F&O OI,52756,52645,,,,,,,,,52851,52977
LAURUSLABS,CALL VOL,19165,40686,,,,,,,,,928,1670
LAURUSLABS,CALL OI,7594,7440,,,,,,,,,7404,7674
LAURUSLABS,PUT VOL,11852,16545,,,,,,,,,414,1051
LAURUSLABS,PUT OI,5630,5941,,,,,,,,,4439,5696
LICHSGFIN,PRICE,565.0,568.0,,,,565.1,568.58,566.19,550.98,549.09,565.0,571.0
LICHSGFIN,VWAP,,,,,,,,,,,566.83,568.83
LICHSGFIN,CASH VOL,2772548,3749732,546543,50.65,41.83,,,,,,22221,115368
LICHSGFIN,F&O VOL,3996,63220,,,,,,,,,,83
LICHSGFIN,F&O OI,64556,66421,,,,,,,,,64556,64593
LICHSGFIN,CALL VOL,1551,30962,,,,,,,,,0,8
LICHSGFIN,CALL OI,7593,8405,,,,,,,,,7593,7593
LICHSGFIN,PUT VOL,935,14473,,,,,,,,,0,8
LICHSGFIN,PUT OI,5086,5524,,,,,,,,,5086,5084
LICI,PRICE,404.55,400.0,,,,404.4,404.09,403.18,404.17,397.1,404.0,402.0
LICI,VWAP,,,,,,,,,,,403.8,403.14
LICI,CASH VOL,5528988,7381704,1204668,62.98,61.25,,,,,,73749,337903
LICI,F&O VOL,23838,22027,,,,,,,,,205,671
LICI,F&O OI,67619,68619,,,,,,,,,67621,67587
LICI,CALL VOL,10749,10614,,,,,,,,,148,399
LICI,CALL OI,11666,12061,,,,,,,,,11649,11649
LICI,PUT VOL,4631,5629,,,,,,,,,60,94
LICI,PUT OI,7706,8389,,,,,,,,,7713,7720
LODHA,PRICE,1144.0,1138.0,,,,1143.3,1147.35,1145.12,1129.18,1098.15,1144.0,1153.0
LODHA,VWAP,,,,,,,,,,,1149.3,1150.75
LODHA,CASH VOL,647829,451750,97631,29.49,33.13,,,,,,39068,65093
LODHA,F&O VOL,23324,19936,,,,,,,,,329,1054
LODHA,F&O OI,37114,36981,,,,,,,,,37124,37206
LODHA,CALL VOL,12253,11124,,,,,,,,,228,617
LODHA,CALL OI,6094,6315,,,,,,,,,6087,6053
LODHA,PUT VOL,5117,4823,,,,,,,,,197,378
LODHA,PUT OI,5639,5799,,,,,,,,,5673,5773
LT,PRICE,3866.4,3904.8,,,,3870.0,3898.25,3877.02,3883.15,3879.45,3866.0,3901.0
LT,VWAP,,,,,,,,,,,3894.53,3899.31
LT,CASH VOL,1355288,947371,470570,52.22,63.59,,,,,,50179,80282
LT,F&O VOL,75225,46254,,,,,,,,,3781,10092
LT,F&O OI,132792,133809,,,,,,,,,132890,133134
LT,CALL VOL,36025,25969,,,,,,,,,2597,6339
LT,CALL OI,27557,28149,,,,,,,,,27414,27725
LT,PUT VOL,19957,9741,,,,,,,,,1170,2505
LT,PUT OI,17209,18132,,,,,,,,,17314,17167
LTF,PRICE,304.9,307.8,,,,308.9,305.65,305.15,309.83,303.9,304.0,311.0
LTF,VWAP,,,,,,,,,,,310.73,310.95
LTF,CASH VOL,2577248,2617760,862309,48.15,51.08,,,,,,614604,903094
LTF,F&O VOL,23876,11527,,,,,,,,,5047,10371
LTF,F&O OI,46245,42597,,,,,,,,,45968,45961
LTF,CALL VOL,12123,5444,,,,,,,,,4449,7327
LTF,CALL OI,10408,8484,,,,,,,,,10340,10298
LTF,PUT VOL,6172,2937,,,,,,,,,1055,1890
LTF,PUT OI,7913,7153,,,,,,,,,8021,7904
LTM,PRICE,4158.3,4280.0,,,,4160.0,4152.38,4140.55,4361.95,4304.05,4158.0,4146.0
LTM,VWAP,,,,,,,,,,,4165.43,4155.62
LTM,CASH VOL,995608,271418,191486,28.79,36.5,,,,,,11839,27286
LTM,F&O VOL,101798,21388,,,,,,,,,611,2390
LTM,F&O OI,60117,54883,,,,,,,,,60188,60339
LTM,CALL VOL,37953,7306,,,,,,,,,347,1028
LTM,CALL OI,5073,2987,,,,,,,,,5124,5346
LTM,PUT VOL,35753,4879,,,,,,,,,182,919
LTM,PUT OI,4291,3323,,,,,,,,,4291,4239
LUPIN,PRICE,2135.0,2124.5,,,,2125.0,2130.67,2122.0,2080.03,2074.1,2135.0,2114.0
LUPIN,VWAP,,,,,,,,,,,2116.1,2114.78
LUPIN,CASH VOL,597568,429137,185441,66.32,54.35,,,,,,18526,45696
LUPIN,F&O VOL,15648,26224,,,,,,,,,618,1837
LUPIN,F&O OI,36424,37427,,,,,,,,,36539,36643
LUPIN,CALL VOL,7859,14853,,,,,,,,,257,759
LUPIN,CALL OI,5331,5488,,,,,,,,,5338,5350
LUPIN,PUT VOL,3364,4930,,,,,,,,,432,1015
LUPIN,PUT OI,4035,4284,,,,,,,,,4153,4216
M&M,PRICE,3044.5,3055.3,,,,3048.4,3064.35,3051.12,3078.65,3060.88,3044.0,3036.0
M&M,VWAP,,,,,,,,,,,3045.0,3042.34
M&M,CASH VOL,1708090,1056850,438779,60.91,64.44,,,,,,74972,133589
M&M,F&O VOL,66955,44526,,,,,,,,,3047,8306
M&M,F&O OI,129034,127951,,,,,,,,,129435,130335
M&M,CALL VOL,30982,23160,,,,,,,,,2074,5257
M&M,CALL OI,17959,17853,,,,,,,,,18415,18917
M&M,PUT VOL,15158,10213,,,,,,,,,739,1865
M&M,PUT OI,13053,13049,,,,,,,,,13098,13119
MANAPPURAM,PRICE,319.3,315.1,,,,320.0,318.88,318.05,320.23,319.51,319.0,322.0
MANAPPURAM,VWAP,,,,,,,,,,,321.9,322.07
MANAPPURAM,CASH VOL,2282054,2669726,700911,50.24,45.56,,,,,,143633,356285
MANAPPURAM,F&O VOL,477,340,,,,,,,,,8,17
MANAPPURAM,F&O OI,34271,34576,,,,,,,,,34271,34265
MANAPPURAM,CALL VOL,67,58,,,,,,,,,7,7
MANAPPURAM,CALL OI,2153,2179,,,,,,,,,3064,2147
MANAPPURAM,PUT VOL,24,37,,,,,,,,,0,0
MANAPPURAM,PUT OI,2492,2514,,,,,,,,,2798,2492
MANKIND,PRICE,2480.0,2437.8,,,,2475.1,2474.78,2464.35,2292.38,2275.75,2480.0,2479.0
MANKIND,VWAP,,,,,,,,,,,2478.1,2477.94
MANKIND,CASH VOL,667075,1342757,239148,43.18,24.31,,,,,,19300,30194
MANKIND,F&O VOL,55165,134508,,,,,,,,,1022,2404
MANKIND,F&O OI,26441,26719,,,,,,,,,26434,26456
MANKIND,CALL VOL,28347,82164,,,,,,,,,485,1092
MANKIND,CALL OI,4174,4489,,,,,,,,,4250,4298
MANKIND,PUT VOL,12382,16443,,,,,,,,,285,602
MANKIND,PUT OI,3384,2447,,,,,,,,,3411,3433
MARICO,PRICE,830.0,824.4,,,,830.5,829.18,827.52,808.77,805.52,830.0,831.0
MARICO,VWAP,,,,,,,,,,,829.6,829.93
MARICO,CASH VOL,1090303,1672296,270819,64.64,48.82,,,,,,48943,79141
MARICO,F&O VOL,11079,22200,,,,,,,,,193,705
MARICO,F&O OI,25888,26010,,,,,,,,,25929,26008
MARICO,CALL VOL,5236,11378,,,,,,,,,124,334
MARICO,CALL OI,4441,4268,,,,,,,,,4452,4457
MARICO,PUT VOL,3851,8563,,,,,,,,,114,370
MARICO,PUT OI,3993,4255,,,,,,,,,4021,4065
MARUTI,PRICE,12190.0,12153.0,,,,12240.0,12208.5,12196.17,12322.0,12176.0,12190.0,12215.0
MARUTI,VWAP,,,,,,,,,,,12212.0,12219.4
MARUTI,CASH VOL,246724,339171,50998,46.17,61.34,,,,,,7958,14634
MARUTI,F&O VOL,148674,141713,,,,,,,,,5851,14881
MARUTI,F&O OI,178038,177983,,,,,,,,,179006,179312
MARUTI,CALL VOL,70508,58054,,,,,,,,,3174,6753
MARUTI,CALL OI,21912,20790,,,,,,,,,22339,22277
MARUTI,PUT VOL,34000,37011,,,,,,,,,1371,3331
MARUTI,PUT OI,14998,15539,,,,,,,,,15189,15499
MAXHEALTH,PRICE,1056.5,1066.6,,,,1056.5,1059.35,1057.45,1046.37,1040.5,1056.0,1058.0
MAXHEALTH,VWAP,,,,,,,,,,,1056.6,1058.53
MAXHEALTH,CASH VOL,1132196,965254,452906,41.35,50.53,,,,,,41734,132482
MAXHEALTH,F&O VOL,16835,19741,,,,,,,,,297,1239
MAXHEALTH,F&O OI,32586,32460,,,,,,,,,32603,32638
MAXHEALTH,CALL VOL,6282,10251,,,,,,,,,235,763
MAXHEALTH,CALL OI,3713,3894,,,,,,,,,3718,3732
MAXHEALTH,PUT VOL,5313,5536,,,,,,,,,145,407
MAXHEALTH,PUT OI,2941,3312,,,,,,,,,2953,2970
MAZDOCK,PRICE,2204.0,2232.0,,,,2210.6,2223.25,2210.42,2277.27,2271.8,2204.0,2208.0
MAZDOCK,VWAP,,,,,,,,,,,2210.7,2209.86
MAZDOCK,CASH VOL,611823,639638,153903,41.63,37.22,,,,,,37909,52733
MAZDOCK,F&O VOL,34610,43409,,,,,,,,,1133,2331
MAZDOCK,F&O OI,67455,64836,,,,,,,,,67652,67832
MAZDOCK,CALL VOL,15945,21424,,,,,,,,,641,1149
MAZDOCK,CALL OI,10623,9891,,,,,,,,,10728,10767
MAZDOCK,PUT VOL,5911,8962,,,,,,,,,464,858
MAZDOCK,PUT OI,6212,6101,,,,,,,,,6311,6377
MCX,PRICE,3262.6,3209.0,,,,3269.0,3258.83,3251.3,3247.6,3222.8,3262.0,3288.0
MCX,VWAP,,,,,,,,,,,3295.1,3290.91
MCX,CASH VOL,1069125,1267161,274708,35.7,34.6,,,,,,120383,183517
MCX,F&O VOL,89039,91744,,,,,,,,,8717,16555
MCX,F&O OI,88016,89207,,,,,,,,,88280,89759
MCX,CALL VOL,45830,45816,,,,,,,,,5435,9589
MCX,CALL OI,21444,24587,,,,,,,,,21699,22509
MCX,PUT VOL,22750,26921,,,,,,,,,2728,4956
MCX,PUT OI,13139,12747,,,,,,,,,13300,13697
MFSL,PRICE,1554.2,1569.0,,,,1562.4,1565.15,1557.85,1538.87,1498.6,1554.0,1553.0
MFSL,VWAP,,,,,,,,,,,1557.47,1554.72
MFSL,CASH VOL,279864,534288,119503,55.7,56.28,,,,,,3918,10076
MFSL,F&O VOL,7112,13311,,,,,,,,,140,290
MFSL,F&O OI,24045,24324,,,,,,,,,24074,24088
MFSL,CALL VOL,2870,6311,,,,,,,,,97,170
MFSL,CALL OI,3745,3791,,,,,,,,,3772,3792
MFSL,PUT VOL,2826,4590,,,,,,,,,69,108
MFSL,PUT OI,3087,3297,,,,,,,,,3081,3073
MOTHERSON,PRICE,161.77,162.91,,,,162.99,162.56,162.03,162.04,160.99,161.0,163.0
MOTHERSON,VWAP,,,,,,,,,,,162.97,163.24
MOTHERSON,CASH VOL,8031394,7264642,1939908,55.01,48.09,,,,,,125214,446042
MOTHERSON,F&O VOL,7692,11935,,,,,,,,,75,769
MOTHERSON,F&O OI,35238,35267,,,,,,,,,35241,35277
MOTHERSON,CALL VOL,3083,5682,,,,,,,,,72,434
MOTHERSON,CALL OI,4236,4249,,,,,,,,,4232,4245
MOTHERSON,PUT VOL,2142,2332,,,,,,,,,85,204
MOTHERSON,PUT OI,4611,4628,,,,,,,,,4605,4606
MOTILALOFS,PRICE,1007.0,995.0,,,,1016.0,1010.3,1008.1,1005.75,997.25,1007.0,1030.0
MOTILALOFS,VWAP,,,,,,,,,,,1019.27,1023.02
MOTILALOFS,CASH VOL,813525,277400,217209,35.47,32.39,,,,,,39544,89820
MOTILALOFS,F&O VOL,13334,5457,,,,,,,,,615,2182
MOTILALOFS,F&O OI,13608,13457,,,,,,,,,13633,13640
MOTILALOFS,CALL VOL,9633,3398,,,,,,,,,544,1646
MOTILALOFS,CALL OI,4307,4336,,,,,,,,,4161,4346
MOTILALOFS,PUT VOL,1983,872,,,,,,,,,173,484
MOTILALOFS,PUT OI,1530,1494,,,,,,,,,1637,1525
MPHASIS,PRICE,2265.0,2296.2,,,,2265.0,2280.5,2270.17,2367.2,2322.67,2265.0,2241.0
MPHASIS,VWAP,,,,,,,,,,,2252.93,2246.59
MPHASIS,CASH VOL,506297,206512,183501,58.53,38.17,,,,,,13978,29437
MPHASIS,F&O VOL,13765,8914,,,,,,,,,684,1530
MPHASIS,F&O OI,31410,29627,,,,,,,,,31451,31422
MPHASIS,CALL VOL,6411,4075,,,,,,,,,465,951
MPHASIS,CALL OI,4181,3215,,,,,,,,,4113,4135
MPHASIS,PUT VOL,2549,2336,,,,,,,,,156,470
MPHASIS,PUT OI,2614,2777,,,,,,,,,2644,2668
MUTHOOTFIN,PRICE,2831.5,2854.2,,,,2831.0,2848.0,2837.0,2823.12,2787.15,2831.0,2844.0
MUTHOOTFIN,VWAP,,,,,,,,,,,2846.0,2844.74
MUTHOOTFIN,CASH VOL,484238,433892,133221,55.45,57.48,,,,,,32744,55992
MUTHOOTFIN,F&O VOL,24677,30140,,,,,,,,,910,1796
MUTHOOTFIN,F&O OI,65243,65686,,,,,,,,,65249,65380
MUTHOOTFIN,CALL VOL,11483,15377,,,,,,,,,616,1201
MUTHOOTFIN,CALL OI,14932,15314,,,,,,,,,14910,14943
MUTHOOTFIN,PUT VOL,5921,7189,,,,,,,,,232,414
MUTHOOTFIN,PUT OI,9229,9464,,,,,,,,,9260,9303
NAM-INDIA,PRICE,1159.0,1146.7,,,,1153.3,1156.68,1152.05,1153.4,1150.2,1159.0,1163.0
NAM-INDIA,VWAP,,,,,,,,,,,1161.1,1161.41
NAM-INDIA,CASH VOL,699444,654535,301332,53.22,50.76,,,,,,25631,35100
NAM-INDIA,F&O VOL,6839,4740,,,,,,,,,159,373
NAM-INDIA,F&O OI,19643,19539,,,,,,,,,19617,19558
NAM-INDIA,CALL VOL,2862,2507,,,,,,,,,135,211
NAM-INDIA,CALL OI,2155,2142,,,,,,,,,2131,2101
NAM-INDIA,PUT VOL,1114,738,,,,,,,,,34,93
NAM-INDIA,PUT OI,1680,1817,,,,,,,,,1668,1661
NATIONALUM,PRICE,352.2,352.5,,,,352.5,351.68,350.65,357.55,352.85,352.0,356.0
NATIONALUM,VWAP,,,,,,,,,,,355.58,355.83
NATIONALUM,CASH VOL,2687468,2961381,739381,50.55,51.39,,,,,,239107,397897
NATIONALUM,F&O VOL,27397,24315,,,,,,,,,1712,4229
NATIONALUM,F&O OI,53696,53702,,,,,,,,,53693,54131
NATIONALUM,CALL VOL,16153,13956,,,,,,,,,1129,2307
NATIONALUM,CALL OI,14666,14529,,,,,,,,,14648,14779
NATIONALUM,PUT VOL,6186,5812,,,,,,,,,312,1364
NATIONALUM,PUT OI,9534,9998,,,,,,,,,9566,9712
NAUKRI,PRICE,1304.0,1296.4,,,,1295.6,1304.4,1304.13,1276.4,1259.6,1304.0,1313.0
NAUKRI,VWAP,,,,,,,,,,,1307.93,1310.17
NAUKRI,CASH VOL,1322215,1697517,218286,44.29,54.17,,,,,,25362,43482
NAUKRI,F&O VOL,19246,30517,,,,,,,,,743,1442
NAUKRI,F&O OI,36091,36354,,,,,,,,,36231,36219
NAUKRI,CALL VOL,11919,18610,,,,,,,,,589,1089
NAUKRI,CALL OI,5157,5238,,,,,,,,,5273,5272
NAUKRI,PUT VOL,4207,7618,,,,,,,,,99,274
NAUKRI,PUT OI,2676,2782,,,,,,,,,2671,2691
NBCC,PRICE,81.9,83.15,,,,81.75,82.57,82.12,82.27,82.0,81.0,82.0
NBCC,VWAP,,,,,,,,,,,81.96,82.12
NBCC,CASH VOL,4367203,4386703,1076174,42.7,39.5,,,,,,191605,412316
NBCC,F&O VOL,5922,3805,,,,,,,,,101,417
NBCC,F&O OI,24165,24186,,,,,,,,,24185,24189
NBCC,CALL VOL,3117,2178,,,,,,,,,58,191
NBCC,CALL OI,4748,4914,,,,,,,,,4753,4744
NBCC,PUT VOL,788,480,,,,,,,,,26,113
NBCC,PUT OI,2076,2164,,,,,,,,,2085,2103
NESTLEIND,PRICE,1363.9,1385.0,,,,1370.0,1378.4,1368.73,1370.6,1367.0,1363.0,1370.0
NESTLEIND,VWAP,,,,,,,,,,,1369.5,1369.72
NESTLEIND,CASH VOL,865008,573071,315388,65.91,52.31,,,,,,18912,30243
NESTLEIND,F&O VOL,18232,30098,,,,,,,,,221,691
NESTLEIND,F&O OI,36436,37168,,,,,,,,,36483,36453
NESTLEIND,CALL VOL,5924,9262,,,,,,,,,125,375
NESTLEIND,CALL OI,3598,3652,,,,,,,,,3634,3635
NESTLEIND,PUT VOL,6445,12402,,,,,,,,,83,217
NESTLEIND,PUT OI,4474,5151,,,,,,,,,4485,4515
NHPC,PRICE,76.01,75.8,,,,76.02,76.04,76.02,76.7,76.19,76.0,76.0
NHPC,VWAP,,,,,,,,,,,76.32,76.52
NHPC,CASH VOL,9874034,10406252,2495879,54.74,59.79,,,,,,167568,829205
NHPC,F&O VOL,7695,5021,,,,,,,,,91,426
NHPC,F&O OI,31545,31566,,,,,,,,,31548,31573
NHPC,CALL VOL,2991,2230,,,,,,,,,80,225
NHPC,CALL OI,4038,4300,,,,,,,,,4036,4032
NHPC,PUT VOL,992,717,,,,,,,,,28,79
NHPC,PUT OI,2260,2289,,,,,,,,,2263,2252
NMDC,PRICE,80.2,79.8,,,,80.07,80.08,79.83,81.47,79.92,80.0,80.0
NMDC,VWAP,,,,,,,,,,,80.39,80.55
NMDC,CASH VOL,8885406,8513163,2909382,52.84,57.12,,,,,,390022,784562
NMDC,F&O VOL,15874,15964,,,,,,,,,337,1066
NMDC,F&O OI,77427,77343,,,,,,,,,77445,77338
NMDC,CALL VOL,3791,2967,,,,,,,,,143,615
NMDC,CALL OI,5324,5158,,,,,,,,,5327,5235
NMDC,PUT VOL,1818,1002,,,,,,,,,107,195
NMDC,PUT OI,3884,4072,,,,,,,,,3897,3883
NTPC,PRICE,327.8,326.4,,,,326.5,327.62,327.27,329.95,325.75,327.0,327.0
NTPC,VWAP,,,,,,,,,,,327.82,327.93
NTPC,CASH VOL,6219007,5098202,1614878,63.87,54.45,,,,,,131230,202773
NTPC,F&O VOL,25786,24528,,,,,,,,,398,976
NTPC,F&O OI,112442,114794,,,,,,,,,112483,112614
NTPC,CALL VOL,12356,14184,,,,,,,,,384,598
NTPC,CALL OI,19727,20639,,,,,,,,,19750,19770
NTPC,PUT VOL,5810,5348,,,,,,,,,115,238
NTPC,PUT OI,7144,7448,,,,,,,,,7155,7240
NYKAA,PRICE,333.55,336.0,,,,333.55,333.98,333.69,334.42,332.91,333.0,334.0
NYKAA,VWAP,,,,,,,,,,,333.42,333.77
NYKAA,CASH VOL,1885771,4082160,1002308,52.21,53.9,,,,,,51459,86043
NYKAA,F&O VOL,6410,11680,,,,,,,,,91,239
NYKAA,F&O OI,17057,16944,,,,,,,,,17054,17059
NYKAA,CALL VOL,3043,6574,,,,,,,,,30,82
NYKAA,CALL OI,2637,2556,,,,,,,,,2637,2640
NYKAA,PUT VOL,1770,2827,,,,,,,,,35,107
NYKAA,PUT OI,1846,1885,,,,,,,,,1852,1853
OBEROIRLTY,PRICE,1845.6,1821.0,,,,1842.1,1839.67,1827.8,1764.17,1722.5,1845.0,1851.0
OBEROIRLTY,VWAP,,,,,,,,,,,1846.87,1849.13
OBEROIRLTY,CASH VOL,470585,960192,102180,54.85,63.93,,,,,,6684,17328
OBEROIRLTY,F&O VOL,15264,24871,,,,,,,,,225,563
OBEROIRLTY,F&O OI,26499,26793,,,,,,,,,26495,26523
OBEROIRLTY,CALL VOL,7412,13375,,,,,,,,,129,305
OBEROIRLTY,CALL OI,4165,4573,,,,,,,,,4029,4126
OBEROIRLTY,PUT VOL,2441,2459,,,,,,,,,62,135
OBEROIRLTY,PUT OI,2338,2420,,,,,,,,,2541,2379
OFSS,PRICE,10989.0,10911.0,,,,10989.0,10983.67,10973.0,11839.83,11727.5,10989.0,10978.0
OFSS,VWAP,,,,,,,,,,,11005.33,10991.08
OFSS,CASH VOL,232724,565241,53863,35.83,33.39,,,,,,11248,17177
OFSS,F&O VOL,69324,141003,,,,,,,,,1747,4430
OFSS,F&O OI,45611,45069,,,,,,,,,45593,45955
OFSS,CALL VOL,24959,32740,,,,,,,,,1018,1802
OFSS,CALL OI,6206,5833,,,,,,,,,6452,6562
OFSS,PUT VOL,13941,53917,,,,,,,,,353,707
OFSS,PUT OI,4678,5347,,,,,,,,,4603,4677
OIL,PRICE,467.0,478.35,,,,467.0,471.2,468.4,491.98,481.12,467.0,468.0
OIL,VWAP,,,,,,,,,,,468.63,468.52
OIL,CASH VOL,2648023,830047,981653,39.1,54.91,,,,,,28576,46365
OIL,F&O VOL,25780,5282,,,,,,,,,262,585
OIL,F&O OI,21677,20483,,,,,,,,,21735,21760
OIL,CALL VOL,9018,1347,,,,,,,,,123,220
OIL,CALL OI,2409,1453,,,,,,,,,2430,2433
OIL,PUT VOL,8144,1426,,,,,,,,,156,221
OIL,PUT OI,2276,2092,,,,,,,,,2335,2321
ONGC,PRICE,236.13,235.63,,,,235.5,235.77,235.06,237.2,234.27,236.0,235.0
ONGC,VWAP,,,,,,,,,,,234.81,235.01
ONGC,CASH VOL,8097173,6114044,2199167,56.77,61.33,,,,,,375503,692826
ONGC,F&O VOL,47050,36455,,,,,,,,,1227,2979
ONGC,F&O OI,67725,68414,,,,,,,,,67884,67961
ONGC,CALL VOL,26546,20833,,,,,,,,,805,1649
ONGC,CALL OI,20938,21602,,,,,,,,,21011,20995
ONGC,PUT VOL,10576,9233,,,,,,,,,472,1054
ONGC,PUT OI,7155,7851,,,,,,,,,7214,7195
PAGEIND,PRICE,37150.0,35950.0,,,,37480.0,37003.33,36710.0,36000.0,35200.0,37150.0,37400.0
PAGEIND,VWAP,,,,,,,,,,,37328.33,37342.35
PAGEIND,CASH VOL,38196,15472,8360,25.92,36.3,,,,,,1475,2555
PAGEIND,F&O VOL,66808,14315,,,,,,,,,1346,3157
PAGEIND,F&O OI,20918,18783,,,,,,,,,20921,21026
PAGEIND,CALL VOL,45486,5370,,,,,,,,,1404,2456
PAGEIND,CALL OI,4597,4050,,,,,,,,,4554,4649
PAGEIND,PUT VOL,11565,2090,,,,,,,,,165,607
PAGEIND,PUT OI,2148,1233,,,,,,,,,2177,2151
PATANJALI,PRICE,404.0,396.2,,,,404.0,403.8,403.4,361.86,351.57,404.0,405.0
PATANJALI,VWAP,,,,,,,,,,,405.03,405.03
PATANJALI,CASH VOL,15560500,23162107,1615673,13.44,12.38,,,,,,393687,566449
PATANJALI,F&O VOL,234670,337013,,,,,,,,,4417,8479
PATANJALI,F&O OI,81637,75388,,,,,,,,,82161,82757
PATANJALI,CALL VOL,126593,184019,,,,,,,,,2894,4777
PATANJALI,CALL OI,15931,14243,,,,,,,,,16270,16613
PATANJALI,PUT VOL,53589,51398,,,,,,,,,1420,2221
PATANJALI,PUT OI,9352,8125,,,,,,,,,9468,9612
PAYTM,PRICE,1814.4,1810.0,,,,1814.4,1815.35,1814.72,1830.32,1791.15,1814.0,1797.0
PAYTM,VWAP,,,,,,,,,,,1811.07,1805.09
PAYTM,CASH VOL,1208769,5052267,287022,33.76,53.13,,,,,,74614,193116
PAYTM,F&O VOL,47772,94458,,,,,,,,,1660,7326
PAYTM,F&O OI,64943,65828,,,,,,,,,64948,65067
PAYTM,CALL VOL,19036,38558,,,,,,,,,1159,3348
PAYTM,CALL OI,14232,15163,,,,,,,,,16282,14546
PAYTM,PUT VOL,13794,28335,,,,,,,,,879,3020
PAYTM,PUT OI,10953,10974,,,,,,,,,10719,10830
PERSISTENT,PRICE,5366.0,5449.0,,,,5400.0,5411.0,5381.0,5574.0,5468.67,5366.0,5322.0
PERSISTENT,VWAP,,,,,,,,,,,5354.5,5335.01
PERSISTENT,CASH VOL,350423,352582,69565,42.32,41.83,,,,,,36793,61105
PERSISTENT,F&O VOL,39150,32724,,,,,,,,,2766,6530
PERSISTENT,F&O OI,55073,55721,,,,,,,,,55486,56040
PERSISTENT,CALL VOL,17837,14563,,,,,,,,,2054,4255
PERSISTENT,CALL OI,11045,10337,,,,,,,,,11480,11903
PERSISTENT,PUT VOL,13135,10116,,,,,,,,,972,2049
PERSISTENT,PUT OI,8376,9212,,,,,,,,,8364,8537
PETRONET,PRICE,281.75,287.5,,,,282.05,284.27,282.59,290.21,285.43,281.0,283.0
PETRONET,VWAP,,,,,,,,,,,283.33,283.37
PETRONET,CASH VOL,1996961,1124206,513867,63.96,54.46,,,,,,30976,49607
PETRONET,F&O VOL,7208,4039,,,,,,,,,75,250
PETRONET,F&O OI,23894,23767,,,,,,,,,23906,23906
PETRONET,CALL VOL,3758,1440,,,,,,,,,36,190
PETRONET,CALL OI,4457,4423,,,,,,,,,4464,4457
PETRONET,PUT VOL,1933,912,,,,,,,,,28,65
PETRONET,PUT OI,2247,2204,,,,,,,,,2247,2230
PFC,PRICE,345.8,344.75,,,,345.55,345.47,344.8,348.0,344.37,345.0,346.0
PFC,VWAP,,,,,,,,,,,346.28,346.51
PFC,CASH VOL,7604431,9174012,2593548,62.25,72.53,,,,,,116635,235521
PFC,F&O VOL,28589,26236,,,,,,,,,515,3388
PFC,F&O OI,122694,122667,,,,,,,,,122678,123534
PFC,CALL VOL,12581,9511,,,,,,,,,194,762
PFC,CALL OI,12676,13351,,,,,,,,,12638,12692
PFC,PUT VOL,4895,5547,,,,,,,,,255,549
PFC,PUT OI,11229,11423,,,,,,,,,11252,11229
PGEL,PRICE,520.2,536.55,,,,522.85,530.23,523.54,529.1,529.0,520.0,526.0
PGEL,VWAP,,,,,,,,,,,524.23,525.41
PGEL,CASH VOL,855489,853299,341366,40.38,42.33,,,,,,30783,68602
PGEL,F&O VOL,15337,7488,,,,,,,,,233,779
PGEL,F&O OI,24518,23650,,,,,,,,,24567,24566
PGEL,CALL VOL,7870,2992,,,,,,,,,137,354
PGEL,CALL OI,3860,3373,,,,,,,,,3511,3868
PGEL,PUT VOL,4365,1963,,,,,,,,,143,321
PGEL,PUT OI,2919,2872,,,,,,,,,2802,2938
PHOENIXLTD,PRICE,1953.4,1929.0,,,,1960.0,1950.32,1944.15,1875.83,1871.7,1953.0,1964.0
PHOENIXLTD,VWAP,,,,,,,,,,,1961.63,1962.1
PHOENIXLTD,CASH VOL,421114,344969,134895,60.74,45.25,,,,,,25662,31408
PHOENIXLTD,F&O VOL,8146,15555,,,,,,,,,299,672
PHOENIXLTD,F&O OI,15957,16160,,,,,,,,,16000,15994
PHOENIXLTD,CALL VOL,4694,12069,,,,,,,,,281,448
PHOENIXLTD,CALL OI,1859,1993,,,,,,,,,1869,1830
PHOENIXLTD,PUT VOL,1767,1729,,,,,,,,,66,240
PHOENIXLTD,PUT OI,1284,1190,,,,,,,,,1299,1354
PIDILITIND,PRICE,1572.7,1573.2,,,,1575.1,1574.85,1573.42,1568.07,1560.0,1572.0,1588.0
PIDILITIND,VWAP,,,,,,,,,,,1583.6,1586.47
PIDILITIND,CASH VOL,482511,240443,229884,60.31,57.33,,,,,,18047,31645
PIDILITIND,F&O VOL,5760,4691,,,,,,,,,186,523
PIDILITIND,F&O OI,16336,16331,,,,,,,,,16388,16389
PIDILITIND,CALL VOL,2387,2202,,,,,,,,,207,368
PIDILITIND,CALL OI,2102,1975,,,,,,,,,2140,2125
PIDILITIND,PUT VOL,1830,1424,,,,,,,,,35,134
PIDILITIND,PUT OI,1942,2072,,,,,,,,,1934,1964
PIIND,PRICE,2410.0,2321.8,,,,2407.2,2403.12,2389.35,2337.5,2278.9,2410.0,2415.0
PIIND,VWAP,,,,,,,,,,,2402.0,2405.27
PIIND,CASH VOL,837735,68758,125795,17.28,47.58,,,,,,12285,18104
PIIND,F&O VOL,168366,11560,,,,,,,,,1218,3389
PIIND,F&O OI,54215,48814,,,,,,,,,54207,53936
