Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
360ONE,1,0.996,7.944,19.625,1.375,1.882,1.125,3.027,1.283,-0.655,0.344,0.744,2.471,-4.65,LONG BUILD,LONG BUILD,ABOVE,ABOVE
MOTILALOFS,2,0.981,3.838,9.794,1.244,0.894,2.461,3.376,1.235,-0.508,0.211,0.504,2.552,3.08,LONG BUILD,LONG BUILD,ABOVE,ABOVE
POLICYBZR,3,0.977,3.044,6.993,1.304,-0.277,5.167,4.875,1.327,1.17,0.527,0.805,2.297,2.82,LONG BUILD,LONG BUILD,ABOVE,ABOVE
BANDHANBNK,4,0.973,2.224,59.21,1.421,0.677,2.178,2.87,1.424,-0.221,0.774,0.607,26.62,8.53,LONG BUILD,LONG BUILD,ABOVE,ABOVE
IDFCFIRSTB,5,0.951,4.659,6.691,1.092,0.715,1.186,1.909,1.091,-1.45,0.103,0.663,1.436,-1.89,LONG BUILD,LONG BUILD,ABOVE,ABOVE
RADICO,6,0.943,1.786,8.141,1.374,0.036,3.406,3.444,1.378,0.263,0.367,0.512,4.558,5.8,LONG BUILD,LONG BUILD,ABOVE,ABOVE
TATASTEEL,7,0.941,2.868,3.136,1.136,-0.049,2.769,2.719,1.133,0.227,0.237,0.916,1.093,2.11,LONG BUILD,LONG BUILD,ABOVE,ABOVE
INOXWIND,8,0.933,1.599,33.536,1.279,0.449,-4.153,-3.723,1.278,-1.458,0.227,0.409,20.968,-2.45,SHORT BUILD,SHORT BUILD,BELOW,INSIDE
SUZLON,9,0.926,2.902,2.428,1.108,0.0,-2.326,-2.326,1.091,-0.356,0.881,0.469,0.837,-0.28,SHORT BUILD,SHORT BUILD,BELOW,BELOW
INDUSINDBK,10,0.9,3.322,2.04,1.07,-0.335,0.862,0.524,1.065,-0.251,0.097,1.068,0.614,5.74,LONG BUILD,LONG BUILD,ABOVE,BELOW
BAJFINANCE,11,0.885,1.913,4.172,1.06,2.567,0.319,2.895,1.045,0.412,0.533,0.789,2.181,-6.27,LONG BUILD,LONG BUILD,ABOVE,ABOVE
APOLLOHOSP,12,0.874,1.439,2.664,1.109,0.447,2.039,2.496,1.116,0.844,0.558,0.644,1.851,11.99,LONG BUILD,LONG BUILD,ABOVE,ABOVE
DIVISLAB,13,0.863,1.411,3.196,1.105,-0.235,2.583,2.342,1.116,0.689,0.193,0.607,2.265,3.83,LONG BUILD,LONG BUILD,ABOVE,ABOVE
PHOENIXLTD,14,0.857,1.629,3.654,1.059,0.338,1.429,1.771,1.063,-0.306,0.31,0.889,2.243,15.49,LONG BUILD,LONG BUILD,ABOVE,ABOVE
MCX,15,0.851,1.902,2.254,1.059,0.196,3.059,3.261,1.063,1.723,0.224,0.741,1.185,1.1,LONG BUILD,LONG BUILD,ABOVE,ABOVE
