Symbol,Rank,SCORE,VOL,OPT,OIC,GAP,OPN,CHG,SOI,VWP,DCW,PCR,LEV,DLV,BUILD,SESS,DCPR,WCPR
PIIND,1,0.997,4.961,33.179,1.295,-0.634,-3.83,-4.44,1.282,0.238,0.289,0.871,6.688,25.04,SHORT BUILD,SHORT BUILD,BELOW,BELOW
COCHINSHIP,2,0.992,4.384,10.078,1.556,-0.684,-8.013,-8.642,1.419,-1.49,1.233,1.087,2.299,-10.74,SHORT BUILD,SHORT BUILD,BELOW,BELOW
LICHSGFIN,3,0.989,3.296,918.721,1.28,-1.141,3.663,2.481,1.273,0.658,0.164,0.673,278.736,3.5,LONG BUILD,LONG BUILD,ABOVE,ABOVE
GODREJPROP,4,0.977,3.135,8.244,1.238,-0.908,-6.954,-7.799,1.172,-1.343,0.641,1.077,2.629,8.79,SHORT BUILD,SHORT BUILD,BELOW,BELOW
YESBANK,5,0.977,3.879,9.871,1.127,-0.314,3.464,3.139,1.116,-0.819,0.174,0.564,2.545,-12.34,LONG BUILD,LONG BUILD,ABOVE,ABOVE
LODHA,6,0.951,1.799,5.562,1.113,-1.521,-4.251,-5.707,1.027,0.218,0.422,1.371,3.092,2.39,SHORT BUILD,SHORT BUILD,BELOW,BELOW
DRREDDY,7,0.938,1.564,6.405,1.085,-1.137,3.628,2.45,1.066,0.405,0.111,0.647,4.096,13.93,LONG BUILD,LONG BUILD,ABOVE,ABOVE
ONGC,8,0.925,1.714,2.081,1.133,1.108,-2.876,-1.8,1.102,-2.38,0.124,0.322,1.214,-13.95,SHORT BUILD,SHORT BUILD,BELOW,BELOW
PAYTM,9,0.923,1.51,2.471,1.135,0.345,3.668,4.025,1.116,1.139,0.017,0.314,1.637,-11.7,LONG BUILD,LONG BUILD,ABOVE,ABOVE
MANKIND,10,0.923,2.056,2.479,1.059,-0.054,1.332,1.278,1.051,0.592,0.512,2.632,1.206,-2.18,LONG BUILD,LONG BUILD,ABOVE,BELOW
BAJAJHLDNG,11,0.91,1.874,8.587,1.043,-0.018,0.81,0.791,1.04,0.312,0.178,0.511,4.581,-0.87,LONG BUILD,LONG BUILD,ABOVE,BELOW
INDUSTOWER,12,0.905,4.819,29.833,1.034,0.0,4.301,4.301,1.038,0.934,0.077,0.429,6.191,6.87,LONG BUILD,LONG BUILD,ABOVE,ABOVE
PRESTIGE,13,0.896,1.352,3.589,1.059,-0.849,-2.32,-3.148,1.036,0.895,0.548,1.62,2.654,-18.82,SHORT BUILD,SHORT BUILD,BELOW,BELOW
VEDL,14,0.883,1.357,4.475,1.051,-1.877,-0.379,-2.249,1.024,0.389,0.734,0.963,3.299,0.36,SHORT BUILD,SHORT BUILD,BELOW,BELOW
INDUSINDBK,15,0.88,1.673,1.752,1.061,-0.463,-1.487,-1.943,1.038,-0.373,0.095,1.128,1.048,-8.04,SHORT BUILD,SHORT BUILD,BELOW,BELOW
