Symbol,Metric,DelivRatio,PrevDayRatio,PrevLastHrRatio,10:40
INDIANB,CALL OI,,,,4101
INDIANB,PUT VOL,,,,1351
INDIANB,PUT OI,,,,3784
INDIGO,CASH VOL,1.097,0.492,0.309,0.19
INDIGO,FUT VOL,,,,
INDIGO,FUT OI,,1.015,,1.015
INDIGO,CALL VOL,,,,6035
INDIGO,CALL OI,,,,16704
INDIGO,PUT VOL,,,,5411
INDIGO,PUT OI,,,,12101
INDUSINDBK,CASH VOL,0.968,0.674,0.233,0.28
INDUSINDBK,FUT VOL,,,,
INDUSINDBK,FUT OI,,1.006,,1.006
INDUSINDBK,CALL VOL,,,,3264
INDUSINDBK,CALL OI,,,,4276
INDUSINDBK,PUT VOL,,,,2590
INDUSINDBK,PUT OI,,,,4600
INDUSTOWER,CASH VOL,0.898,0.36,0.284,0.794
INDUSTOWER,FUT VOL,,,,
INDUSTOWER,FUT OI,,1.018,,1.018
INDUSTOWER,CALL VOL,,,,6505
INDUSTOWER,CALL OI,,,,4776
INDUSTOWER,PUT VOL,,,,1472
INDUSTOWER,PUT OI,,,,2785
INFY,CASH VOL,1.221,1.016,0.286,0.458
INFY,FUT VOL,,,,
INFY,FUT OI,,1.04,,1.04
INFY,CALL VOL,,,,34064
INFY,CALL OI,,,,41734
INFY,PUT VOL,,,,38201
INFY,PUT OI,,,,29544
INOXWIND,CASH VOL,0.969,0.571,0.185,0.32
INOXWIND,FUT VOL,,,,
INOXWIND,FUT OI,,0.995,,0.995
INOXWIND,CALL VOL,,,,93
INOXWIND,CALL OI,,,,5919
INOXWIND,PUT VOL,,,,92
INOXWIND,PUT OI,,,,3387
IOC,CASH VOL,1.143,0.866,0.404,0.416
IOC,FUT VOL,,,,
IOC,FUT OI,,1.004,,1.004
IOC,CALL VOL,,,,911
IOC,CALL OI,,,,5081
IOC,PUT VOL,,,,586
IOC,PUT OI,,,,4718
IREDA,CASH VOL,1.074,0.78,0.282,0.456
IREDA,FUT VOL,,,,
IREDA,FUT OI,,1.005,,1.005
IREDA,CALL VOL,,,,1083
IREDA,CALL OI,,,,7917
IREDA,PUT VOL,,,,280
IREDA,PUT OI,,,,4973
IRFC,CASH VOL,1.055,1.379,0.214,0.379
IRFC,FUT VOL,,,,
IRFC,FUT OI,,1.011,,1.011
IRFC,CALL VOL,,,,1751
IRFC,CALL OI,,,,3187
IRFC,PUT VOL,,,,599
IRFC,PUT OI,,,,3885
ITC,CASH VOL,0.751,0.534,0.287,0.161
ITC,FUT VOL,,,,
ITC,FUT OI,,1.001,,1.001
ITC,CALL VOL,,,,8899
ITC,CALL OI,,,,30522
ITC,PUT VOL,,,,5278
ITC,PUT OI,,,,18527
JINDALSTEL,CASH VOL,0.958,0.94,0.318,0.258
JINDALSTEL,FUT VOL,,,,
JINDALSTEL,FUT OI,,1.025,,1.025
JINDALSTEL,CALL VOL,,,,3056
JINDALSTEL,CALL OI,,,,4298
JINDALSTEL,PUT VOL,,,,3036
JINDALSTEL,PUT OI,,,,5900
JIOFIN,CASH VOL,1.057,1.276,0.265,0.225
JIOFIN,FUT VOL,,,,
JIOFIN,FUT OI,,1.013,,1.013
JIOFIN,CALL VOL,,,,4345
JIOFIN,CALL OI,,,,14549
JIOFIN,PUT VOL,,,,1844
JIOFIN,PUT OI,,,,15800
JSWENERGY,CASH VOL,1.602,1.421,0.37,0.069
JSWENERGY,FUT VOL,,,,
JSWENERGY,FUT OI,,0.998,,0.998
JSWENERGY,CALL VOL,,,,738
JSWENERGY,CALL OI,,,,4136
JSWENERGY,PUT VOL,,,,306
JSWENERGY,PUT OI,,,,2916
JSWSTEEL,CASH VOL,1.099,0.848,0.538,0.565
JSWSTEEL,FUT VOL,,,,
JSWSTEEL,FUT OI,,1.032,,1.032
JSWSTEEL,CALL VOL,,,,7379
JSWSTEEL,CALL OI,,,,7179
JSWSTEEL,PUT VOL,,,,4123
JSWSTEEL,PUT OI,,,,7811
JUBLFOOD,CASH VOL,1.261,1.596,0.274,0.192
JUBLFOOD,FUT VOL,,,,
JUBLFOOD,FUT OI,,1.0,,1.0
JUBLFOOD,CALL VOL,,,,401
JUBLFOOD,CALL OI,,,,1415
JUBLFOOD,PUT VOL,,,,209
JUBLFOOD,PUT OI,,,,1821
KALYANKJIL,CASH VOL,0.891,1.272,0.19,0.148
KALYANKJIL,FUT VOL,,,,
KALYANKJIL,FUT OI,,1.02,,1.02
KALYANKJIL,CALL VOL,,,,2712
KALYANKJIL,CALL OI,,,,12371
KALYANKJIL,PUT VOL,,,,1351
KALYANKJIL,PUT OI,,,,5846
KAYNES,CASH VOL,0.825,1.149,0.166,0.49
KAYNES,FUT VOL,,,,
KAYNES,FUT OI,,0.992,,0.992
KAYNES,CALL VOL,,,,197
KAYNES,CALL OI,,,,7561
KAYNES,PUT VOL,,,,35
KAYNES,PUT OI,,,,5758
KEI,CASH VOL,0.895,4.443,0.208,0.119
KEI,FUT VOL,,,,
KEI,FUT OI,,1.078,,1.078
KEI,CALL VOL,,,,10797
KEI,CALL OI,,,,9548
KEI,PUT VOL,,,,7360
KEI,PUT OI,,,,7246
KFINTECH,CASH VOL,0.849,1.505,0.285,0.203
KFINTECH,FUT VOL,,,,
KFINTECH,FUT OI,,1.026,,1.026
KFINTECH,CALL VOL,,,,1300
KFINTECH,CALL OI,,,,4589
KFINTECH,PUT VOL,,,,475
KFINTECH,PUT OI,,,,2937
KOTAKBANK,CASH VOL,1.163,1.57,0.298,0.102
KOTAKBANK,FUT VOL,,,,
KOTAKBANK,FUT OI,,0.999,,0.999
KOTAKBANK,CALL VOL,,,,4478
KOTAKBANK,CALL OI,,,,23297
KOTAKBANK,PUT VOL,,,,2807
KOTAKBANK,PUT OI,,,,16520
KPITTECH,CASH VOL,1.318,1.271,0.4,0.362
KPITTECH,FUT VOL,,,,
KPITTECH,FUT OI,,1.026,,1.026
KPITTECH,CALL VOL,,,,1898
KPITTECH,CALL OI,,,,4688
KPITTECH,PUT VOL,,,,827
KPITTECH,PUT OI,,,,3602
LAURUSLABS,CASH VOL,1.023,0.714,0.293,0.265
LAURUSLABS,FUT VOL,,,,
LAURUSLABS,FUT OI,,1.009,,1.009
LAURUSLABS,CALL VOL,,,,2936
LAURUSLABS,CALL OI,,,,8429
LAURUSLABS,PUT VOL,,,,1845
LAURUSLABS,PUT OI,,,,5992
LICHSGFIN,CASH VOL,0.679,1.229,0.118,0.074
LICHSGFIN,FUT VOL,,,,
LICHSGFIN,FUT OI,,0.999,,0.999
LICHSGFIN,CALL VOL,,,,50
LICHSGFIN,CALL OI,,,,6050
LICHSGFIN,PUT VOL,,,,78
LICHSGFIN,PUT OI,,,,4591
LICI,CASH VOL,0.893,1.061,0.228,0.186
LICI,FUT VOL,,,,
LICI,FUT OI,,1.003,,1.003
LICI,CALL VOL,,,,1439
LICI,CALL OI,,,,7916
LICI,PUT VOL,,,,489
LICI,PUT OI,,,,7848
LODHA,CASH VOL,1.092,0.56,0.232,0.094
LODHA,FUT VOL,,,,
LODHA,FUT OI,,1.005,,1.005
LODHA,CALL VOL,,,,1041
LODHA,CALL OI,,,,3923
LODHA,PUT VOL,,,,442
LODHA,PUT OI,,,,3410
LT,CASH VOL,1.213,1.402,0.268,0.174
LT,FUT VOL,,,,
LT,FUT OI,,0.997,,0.997
LT,CALL VOL,,,,9928
LT,CALL OI,,,,30912
LT,PUT VOL,,,,4538
LT,PUT OI,,,,15223
LTF,CASH VOL,1.017,1.027,0.233,0.176
LTF,FUT VOL,,,,
LTF,FUT OI,,1.009,,1.009
LTF,CALL VOL,,,,869
LTF,CALL OI,,,,4964
LTF,PUT VOL,,,,528
LTF,PUT OI,,,,6605
LTM,CASH VOL,0.902,1.18,0.471,0.49
LTM,FUT VOL,,,,
LTM,FUT OI,,1.078,,1.078
LTM,CALL VOL,,,,4514
LTM,CALL OI,,,,3484
LTM,PUT VOL,,,,8275
LTM,PUT OI,,,,3747
LUPIN,CASH VOL,0.955,1.818,0.351,0.211
LUPIN,FUT VOL,,,,
LUPIN,FUT OI,,1.021,,1.021
LUPIN,CALL VOL,,,,2034
LUPIN,CALL OI,,,,3630
LUPIN,PUT VOL,,,,573
LUPIN,PUT OI,,,,4237
M&M,CASH VOL,1.116,0.816,0.368,0.169
M&M,FUT VOL,,,,
M&M,FUT OI,,1.011,,1.011
M&M,CALL VOL,,,,4578
M&M,CALL OI,,,,12248
M&M,PUT VOL,,,,3679
M&M,PUT OI,,,,13696
MANAPPURAM,CASH VOL,0.683,0.611,0.262,1.54
MANAPPURAM,FUT VOL,,,,
MANAPPURAM,FUT OI,,1.091,,1.091
MANAPPURAM,CALL VOL,,,,3964
MANAPPURAM,CALL OI,,,,2409
MANAPPURAM,PUT VOL,,,,7182
MANAPPURAM,PUT OI,,,,3103
MANKIND,CASH VOL,1.016,1.239,0.342,0.542
MANKIND,FUT VOL,,,,
MANKIND,FUT OI,,1.007,,1.007
MANKIND,CALL VOL,,,,424
MANKIND,CALL OI,,,,1424
MANKIND,PUT VOL,,,,178
MANKIND,PUT OI,,,,1879
MARICO,CASH VOL,1.028,0.6,0.387,0.14
MARICO,FUT VOL,,,,
MARICO,FUT OI,,1.013,,1.013
MARICO,CALL VOL,,,,741
MARICO,CALL OI,,,,1926
MARICO,PUT VOL,,,,376
MARICO,PUT OI,,,,2272
MARUTI,CASH VOL,1.21,0.889,0.331,0.276
MARUTI,FUT VOL,,,,
MARUTI,FUT OI,,1.015,,1.015
MARUTI,CALL VOL,,,,18572
MARUTI,CALL OI,,,,20084
MARUTI,PUT VOL,,,,8860
MARUTI,PUT OI,,,,14738
MAXHEALTH,CASH VOL,1.176,1.729,0.342,0.296
MAXHEALTH,FUT VOL,,,,
MAXHEALTH,FUT OI,,1.002,,1.002
MAXHEALTH,CALL VOL,,,,1308
MAXHEALTH,CALL OI,,,,2641
MAXHEALTH,PUT VOL,,,,550
MAXHEALTH,PUT OI,,,,2596
MAZDOCK,CASH VOL,0.728,2.267,0.187,0.283
MAZDOCK,FUT VOL,,,,
MAZDOCK,FUT OI,,1.021,,1.021
MAZDOCK,CALL VOL,,,,4418
MAZDOCK,CALL OI,,,,8992
MAZDOCK,PUT VOL,,,,1634
MAZDOCK,PUT OI,,,,6414
MCX,CASH VOL,1.121,1.03,0.361,0.332
MCX,FUT VOL,,,,
MCX,FUT OI,,0.996,,0.996
MCX,CALL VOL,,,,38194
MCX,CALL OI,,,,19728
MCX,PUT VOL,,,,10670
MCX,PUT OI,,,,12268
MFSL,CASH VOL,1.003,2.042,0.355,0.12
MFSL,FUT VOL,,,,
MFSL,FUT OI,,0.999,,0.999
MFSL,CALL VOL,,,,394
MFSL,CALL OI,,,,1436
MFSL,PUT VOL,,,,251
MFSL,PUT OI,,,,1603
MOTHERSON,CASH VOL,1.099,0.812,0.173,0.391
MOTHERSON,FUT VOL,,,,
MOTHERSON,FUT OI,,1.002,,1.002
MOTHERSON,CALL VOL,,,,1737
MOTHERSON,CALL OI,,,,2876
MOTHERSON,PUT VOL,,,,824
MOTHERSON,PUT OI,,,,4940
MOTILALOFS,CASH VOL,1.004,1.767,0.302,0.563
MOTILALOFS,FUT VOL,,,,
MOTILALOFS,FUT OI,,1.042,,1.042
MOTILALOFS,CALL VOL,,,,3717
MOTILALOFS,CALL OI,,,,3094
MOTILALOFS,PUT VOL,,,,805
MOTILALOFS,PUT OI,,,,1280
MPHASIS,CASH VOL,0.6,0.393,0.299,0.736
MPHASIS,FUT VOL,,,,
MPHASIS,FUT OI,,1.028,,1.028
MPHASIS,CALL VOL,,,,1359
MPHASIS,CALL OI,,,,2198
MPHASIS,PUT VOL,,,,1951
MPHASIS,PUT OI,,,,1908
MUTHOOTFIN,CASH VOL,1.307,1.029,0.312,0.211
MUTHOOTFIN,FUT VOL,,,,
MUTHOOTFIN,FUT OI,,1.013,,1.013
MUTHOOTFIN,CALL VOL,,,,5334
MUTHOOTFIN,CALL OI,,,,9907
MUTHOOTFIN,PUT VOL,,,,3713
MUTHOOTFIN,PUT OI,,,,7808
NAM-INDIA,CASH VOL,1.08,0.884,0.204,0.274
NAM-INDIA,FUT VOL,,,,
NAM-INDIA,FUT OI,,1.011,,1.011
NAM-INDIA,CALL VOL,,,,703
NAM-INDIA,CALL OI,,,,1381
NAM-INDIA,PUT VOL,,,,179
NAM-INDIA,PUT OI,,,,1567
NATIONALUM,CASH VOL,1.144,1.467,0.278,0.166
NATIONALUM,FUT VOL,,,,
NATIONALUM,FUT OI,,1.017,,1.017
NATIONALUM,CALL VOL,,,,2725
NATIONALUM,CALL OI,,,,8125
NATIONALUM,PUT VOL,,,,1285
NATIONALUM,PUT OI,,,,7620
NAUKRI,CASH VOL,1.15,1.235,0.323,0.271
NAUKRI,FUT VOL,,,,
NAUKRI,FUT OI,,1.005,,1.005
NAUKRI,CALL VOL,,,,1071
NAUKRI,CALL OI,,,,1869
NAUKRI,PUT VOL,,,,1095
NAUKRI,PUT OI,,,,1938
NBCC,CASH VOL,1.095,0.716,0.235,0.267
NBCC,FUT VOL,,,,
NBCC,FUT OI,,1.002,,1.002
NBCC,CALL VOL,,,,305
NBCC,CALL OI,,,,3955
NBCC,PUT VOL,,,,141
NBCC,PUT OI,,,,2033
NESTLEIND,CASH VOL,1.034,1.476,0.229,0.132
NESTLEIND,FUT VOL,,,,
NESTLEIND,FUT OI,,1.007,,1.007
NESTLEIND,CALL VOL,,,,399
NESTLEIND,CALL OI,,,,830
NESTLEIND,PUT VOL,,,,420
NESTLEIND,PUT OI,,,,1805
NHPC,CASH VOL,1.03,0.289,0.259,0.617
NHPC,FUT VOL,,,,
NHPC,FUT OI,,1.001,,1.001
NHPC,CALL VOL,,,,1093
NHPC,CALL OI,,,,3226
NHPC,PUT VOL,,,,468
NHPC,PUT OI,,,,4069
NMDC,CASH VOL,1.14,1.004,0.251,0.304
NMDC,FUT VOL,,,,
NMDC,FUT OI,,1.012,,1.012
NMDC,CALL VOL,,,,1930
NMDC,CALL OI,,,,4626
NMDC,PUT VOL,,,,1075
NMDC,PUT OI,,,,3903
NTPC,CASH VOL,1.041,0.868,0.393,0.165
NTPC,FUT VOL,,,,
NTPC,FUT OI,,0.999,,0.999
NTPC,CALL VOL,,,,3202
NTPC,CALL OI,,,,18349
NTPC,PUT VOL,,,,1483
NTPC,PUT OI,,,,8129
NYKAA,CASH VOL,1.103,0.741,0.308,0.753
NYKAA,FUT VOL,,,,
NYKAA,FUT OI,,0.998,,0.998
NYKAA,CALL VOL,,,,1552
NYKAA,CALL OI,,,,2327
NYKAA,PUT VOL,,,,462
NYKAA,PUT OI,,,,1253
OBEROIRLTY,CASH VOL,0.854,0.52,0.241,0.143
OBEROIRLTY,FUT VOL,,,,
OBEROIRLTY,FUT OI,,1.003,,1.003
OBEROIRLTY,CALL VOL,,,,837
OBEROIRLTY,CALL OI,,,,2990
OBEROIRLTY,PUT VOL,,,,537
OBEROIRLTY,PUT OI,,,,2966
OFSS,CASH VOL,0.957,0.765,0.244,0.331
OFSS,FUT VOL,,,,
OFSS,FUT OI,,1.037,,1.037
OFSS,CALL VOL,,,,1722
OFSS,CALL OI,,,,3140
OFSS,PUT VOL,,,,1836
OFSS,PUT OI,,,,3253
OIL,CASH VOL,1.5,0.856,0.451,0.274
OIL,FUT VOL,,,,
OIL,FUT OI,,1.004,,1.004
OIL,CALL VOL,,,,708
OIL,CALL OI,,,,1684
OIL,PUT VOL,,,,244
OIL,PUT OI,,,,1155
ONGC,CASH VOL,1.138,1.031,0.219,0.3
ONGC,FUT VOL,,,,
ONGC,FUT OI,,1.019,,1.019
ONGC,CALL VOL,,,,3471
ONGC,CALL OI,,,,13004
ONGC,PUT VOL,,,,1303
ONGC,PUT OI,,,,7249
PAGEIND,CASH VOL,0.777,0.383,0.372,0.208
PAGEIND,FUT VOL,,,,
PAGEIND,FUT OI,,0.993,,0.993
PAGEIND,CALL VOL,,,,1719
PAGEIND,CALL OI,,,,2222
PAGEIND,PUT VOL,,,,508
PAGEIND,PUT OI,,,,1718
PATANJALI,CASH VOL,0.967,0.782,0.112,0.497
PATANJALI,FUT VOL,,,,
PATANJALI,FUT OI,,1.012,,1.012
PATANJALI,CALL VOL,,,,1368
PATANJALI,CALL OI,,,,4233
PATANJALI,PUT VOL,,,,1033
PATANJALI,PUT OI,,,,3214
PAYTM,CASH VOL,1.019,2.937,0.146,0.114
PAYTM,FUT VOL,,,,
PAYTM,FUT OI,,1.007,,1.007
PAYTM,CALL VOL,,,,3518
PAYTM,CALL OI,,,,7904
PAYTM,PUT VOL,,,,1437
PAYTM,PUT OI,,,,7889
PERSISTENT,CASH VOL,0.996,0.603,0.275,0.332
PERSISTENT,FUT VOL,,,,
PERSISTENT,FUT OI,,1.031,,1.031
PERSISTENT,CALL VOL,,,,8176
PERSISTENT,CALL OI,,,,10299
PERSISTENT,PUT VOL,,,,5783
PERSISTENT,PUT OI,,,,7781
PETRONET,CASH VOL,1.225,0.799,0.442,0.319
PETRONET,FUT VOL,,,,
PETRONET,FUT OI,,1.011,,1.011
PETRONET,CALL VOL,,,,1958
PETRONET,CALL OI,,,,3540
PETRONET,PUT VOL,,,,633
PETRONET,PUT OI,,,,2631
PFC,CASH VOL,1.155,2.222,0.218,0.107
PFC,FUT VOL,,,,
PFC,FUT OI,,1.005,,1.005
PFC,CALL VOL,,,,7750
PFC,CALL OI,,,,13736
PFC,PUT VOL,,,,6429
PFC,PUT OI,,,,12661
PGEL,CASH VOL,0.898,0.963,0.244,0.182
PGEL,FUT VOL,,,,
PGEL,FUT OI,,1.005,,1.005
PGEL,CALL VOL,,,,651
PGEL,CALL OI,,,,2808
PGEL,PUT VOL,,,,293
PGEL,PUT OI,,,,2686
PHOENIXLTD,CASH VOL,1.028,0.488,0.236,0.249
PHOENIXLTD,FUT VOL,,,,
PHOENIXLTD,FUT OI,,0.994,,0.994
PHOENIXLTD,CALL VOL,,,,385
PHOENIXLTD,CALL OI,,,,790
PHOENIXLTD,PUT VOL,,,,284
PHOENIXLTD,PUT OI,,,,1106
PIDILITIND,CASH VOL,1.025,1.048,0.402,0.176
PIDILITIND,FUT VOL,,,,
PIDILITIND,FUT OI,,1.008,,1.008
PIDILITIND,CALL VOL,,,,459
PIDILITIND,CALL OI,,,,819
PIDILITIND,PUT VOL,,,,532
PIDILITIND,PUT OI,,,,1432
PIIND,CASH VOL,0.91,2.901,0.19,0.069
PIIND,FUT VOL,,,,
PIIND,FUT OI,,1.0,,1.0
PIIND,CALL VOL,,,,1800
PIIND,CALL OI,,,,5653
PIIND,PUT VOL,,,,1134
PIIND,PUT OI,,,,4652
PNB,CASH VOL,1.184,0.943,0.185,0.222
PNB,FUT VOL,,,,
PNB,FUT OI,,1.004,,1.004
PNB,CALL VOL,,,,1417
PNB,CALL OI,,,,4784
PNB,PUT VOL,,,,1060
PNB,PUT OI,,,,3252
PNBHOUSING,CASH VOL,0.7,2.275,0.195,0.141
PNBHOUSING,FUT VOL,,,,
PNBHOUSING,FUT OI,,1.004,,1.004
PNBHOUSING,CALL VOL,,,,781
PNBHOUSING,CALL OI,,,,2626
PNBHOUSING,PUT VOL,,,,469
PNBHOUSING,PUT OI,,,,1516
POLICYBZR,CASH VOL,0.729,0.539,0.374,0.16
POLICYBZR,FUT VOL,,,,
POLICYBZR,FUT OI,,0.999,,0.999
POLICYBZR,CALL VOL,,,,625
POLICYBZR,CALL OI,,,,2475
POLICYBZR,PUT VOL,,,,285
POLICYBZR,PUT OI,,,,2779
POLYCAB,CASH VOL,0.959,7.697,0.181,0.126
POLYCAB,FUT VOL,,,,
POLYCAB,FUT OI,,1.05,,1.05
POLYCAB,CALL VOL,,,,8720
POLYCAB,CALL OI,,,,8747
POLYCAB,PUT VOL,,,,11223
POLYCAB,PUT OI,,,,9539
POWERGRID,CASH VOL,1.003,0.811,0.279,0.172
POWERGRID,FUT VOL,,,,
POWERGRID,FUT OI,,0.999,,0.999
POWERGRID,CALL VOL,,,,2534
POWERGRID,CALL OI,,,,7517
POWERGRID,PUT VOL,,,,1012
POWERGRID,PUT OI,,,,5834
POWERINDIA,CASH VOL,1.195,1.304,0.228,0.253
POWERINDIA,FUT VOL,,,,
POWERINDIA,FUT OI,,1.014,,1.014
POWERINDIA,CALL VOL,,,,5237
POWERINDIA,CALL OI,,,,7668
POWERINDIA,PUT VOL,,,,1343
POWERINDIA,PUT OI,,,,8059
PREMIERENE,CASH VOL,1.34,1.925,0.373,0.117
PREMIERENE,FUT VOL,,,,
PREMIERENE,FUT OI,,1.003,,1.003
PREMIERENE,CALL VOL,,,,532
PREMIERENE,CALL OI,,,,4988
PREMIERENE,PUT VOL,,,,227
PREMIERENE,PUT OI,,,,4507
PRESTIGE,CASH VOL,0.63,0.64,0.371,0.128
PRESTIGE,FUT VOL,,,,
PRESTIGE,FUT OI,,1.013,,1.013
PRESTIGE,CALL VOL,,,,662
PRESTIGE,CALL OI,,,,2024
PRESTIGE,PUT VOL,,,,479
PRESTIGE,PUT OI,,,,3037
RADICO,CASH VOL,1.061,0.91,0.2,0.116
RADICO,FUT VOL,,,,
RADICO,FUT OI,,0.999,,0.999
RADICO,CALL VOL,,,,300
RADICO,CALL OI,,,,2243
RADICO,PUT VOL,,,,166
RADICO,PUT OI,,,,1341
RBLBANK,CASH VOL,1.687,0.396,0.211,0.133
RBLBANK,FUT VOL,,,,
RBLBANK,FUT OI,,0.973,,0.973
RBLBANK,CALL VOL,,,,3970
RBLBANK,CALL OI,,,,5037
RBLBANK,PUT VOL,,,,2955
RBLBANK,PUT OI,,,,4094
RECLTD,CASH VOL,1.044,1.372,0.111,0.124
RECLTD,FUT VOL,,,,
RECLTD,FUT OI,,1.013,,1.013
RECLTD,CALL VOL,,,,5530
RECLTD,CALL OI,,,,9463
RECLTD,PUT VOL,,,,3085
RECLTD,PUT OI,,,,7087
RELIANCE,CASH VOL,1.209,1.34,0.243,0.116
RELIANCE,FUT VOL,,,,
RELIANCE,FUT OI,,1.0,,1.0
RELIANCE,CALL VOL,,,,24257
RELIANCE,CALL OI,,,,78784
RELIANCE,PUT VOL,,,,21680
RELIANCE,PUT OI,,,,52286
RVNL,CASH VOL,0.748,1.548,0.128,1.035
RVNL,FUT VOL,,,,
RVNL,FUT OI,,1.056,,1.056
RVNL,CALL VOL,,,,11846
RVNL,CALL OI,,,,10429
RVNL,PUT VOL,,,,2900
RVNL,PUT OI,,,,6646
SAIL,CASH VOL,1.031,1.077,0.294,0.564
SAIL,FUT VOL,,,,
SAIL,FUT OI,,0.999,,0.999
SAIL,CALL VOL,,,,35
SAIL,CALL OI,,,,2227
SAIL,PUT VOL,,,,20
SAIL,PUT OI,,,,2373
SBICARD,CASH VOL,1.727,0.463,0.186,0.402
SBICARD,FUT VOL,,,,
SBICARD,FUT OI,,1.008,,1.008
SBICARD,CALL VOL,,,,3633
SBICARD,CALL OI,,,,7233
SBICARD,PUT VOL,,,,2165
SBICARD,PUT OI,,,,4940
SBILIFE,CASH VOL,0.891,2.652,0.246,0.115
SBILIFE,FUT VOL,,,,
SBILIFE,FUT OI,,0.996,,0.996
SBILIFE,CALL VOL,,,,3911
SBILIFE,CALL OI,,,,6301
SBILIFE,PUT VOL,,,,2341
SBILIFE,PUT OI,,,,3032
SBIN,CASH VOL,1.289,0.912,0.336,0.58
SBIN,FUT VOL,,,,
SBIN,FUT OI,,1.045,,1.045
SBIN,CALL VOL,,,,21905
SBIN,CALL OI,,,,22129
SBIN,PUT VOL,,,,24142
SBIN,PUT OI,,,,27724
SHREECEM,CASH VOL,1.098,0.767,0.269,0.24
SHREECEM,FUT VOL,,,,
SHREECEM,FUT OI,,1.006,,1.006
SHREECEM,CALL VOL,,,,158
SHREECEM,CALL OI,,,,681
SHREECEM,PUT VOL,,,,73
SHREECEM,PUT OI,,,,1111
SHRIRAMFIN,CASH VOL,1.1,0.663,0.273,0.108
SHRIRAMFIN,FUT VOL,,,,
SHRIRAMFIN,FUT OI,,1.006,,1.006
SHRIRAMFIN,CALL VOL,,,,3024
SHRIRAMFIN,CALL OI,,,,9158
SHRIRAMFIN,PUT VOL,,,,2101
SHRIRAMFIN,PUT OI,,,,8204
SIEMENS,CASH VOL,1.33,0.455,0.483,0.267
SIEMENS,FUT VOL,,,,
SIEMENS,FUT OI,,1.009,,1.009
SIEMENS,CALL VOL,,,,1223
SIEMENS,CALL OI,,,,4346
SIEMENS,PUT VOL,,,,599
SIEMENS,PUT OI,,,,4742
SOLARINDS,CASH VOL,1.058,0.265,0.222,0.91
SOLARINDS,FUT VOL,,,,
SOLARINDS,FUT OI,,1.184,,1.184
SOLARINDS,CALL VOL,,,,29498
SOLARINDS,CALL OI,,,,10676
SOLARINDS,PUT VOL,,,,10032
SOLARINDS,PUT OI,,,,5200
SONACOMS,CASH VOL,0.921,0.541,0.335,0.48
SONACOMS,FUT VOL,,,,
SONACOMS,FUT OI,,1.007,,1.007
SONACOMS,CALL VOL,,,,476
SONACOMS,CALL OI,,,,2194
SONACOMS,PUT VOL,,,,329
SONACOMS,PUT OI,,,,2658
SRF,CASH VOL,0.891,1.542,0.226,0.149
SRF,FUT VOL,,,,
SRF,FUT OI,,0.999,,0.999
SRF,CALL VOL,,,,1450
SRF,CALL OI,,,,4872
SRF,PUT VOL,,,,1036
SRF,PUT OI,,,,4453
SUNPHARMA,CASH VOL,1.009,0.632,0.423,0.204
SUNPHARMA,FUT VOL,,,,
SUNPHARMA,FUT OI,,1.002,,1.002
SUNPHARMA,CALL VOL,,,,3317
SUNPHARMA,CALL OI,,,,19722
SUNPHARMA,PUT VOL,,,,1830
SUNPHARMA,PUT OI,,,,9696
SUPREMEIND,CASH VOL,1.058,0.572,0.25,0.948
SUPREMEIND,FUT VOL,,,,
SUPREMEIND,FUT OI,,1.044,,1.044
SUPREMEIND,CALL VOL,,,,12850
SUPREMEIND,CALL OI,,,,3495
SUPREMEIND,PUT VOL,,,,2123
SUPREMEIND,PUT OI,,,,1587
SUZLON,CASH VOL,1.05,1.7,0.252,0.248
SUZLON,FUT VOL,,,,
SUZLON,FUT OI,,1.005,,1.005
SUZLON,CALL VOL,,,,1823
SUZLON,CALL OI,,,,5365
SUZLON,PUT VOL,,,,772
SUZLON,PUT OI,,,,4148
SWIGGY,CASH VOL,1.295,3.275,0.843,0.062
SWIGGY,FUT VOL,,,,
SWIGGY,FUT OI,,1.016,,1.016
SWIGGY,CALL VOL,,,,9432
SWIGGY,CALL OI,,,,11331
SWIGGY,PUT VOL,,,,6748
SWIGGY,PUT OI,,,,11209
TATACONSUM,CASH VOL,1.199,1.102,0.208,0.224
TATACONSUM,FUT VOL,,,,
TATACONSUM,FUT OI,,1.005,,1.005
TATACONSUM,CALL VOL,,,,527
TATACONSUM,CALL OI,,,,2160
TATACONSUM,PUT VOL,,,,447
TATACONSUM,PUT OI,,,,5166
TATAELXSI,CASH VOL,1.329,2.435,0.241,0.299
TATAELXSI,FUT VOL,,,,
TATAELXSI,FUT OI,,1.033,,1.033
TATAELXSI,CALL VOL,,,,1591
TATAELXSI,CALL OI,,,,3144
TATAELXSI,PUT VOL,,,,1099
TATAELXSI,PUT OI,,,,3079
TATAPOWER,CASH VOL,1.457,0.664,0.314,0.451
TATAPOWER,FUT VOL,,,,
TATAPOWER,FUT OI,,0.999,,0.999
TATAPOWER,CALL VOL,,,,3626
TATAPOWER,CALL OI,,,,15173
TATAPOWER,PUT VOL,,,,2786
TATAPOWER,PUT OI,,,,14718
TATASTEEL,CASH VOL,1.256,1.662,0.327,0.203
TATASTEEL,FUT VOL,,,,
TATASTEEL,FUT OI,,1.012,,1.012
TATASTEEL,CALL VOL,,,,19712
TATASTEEL,CALL OI,,,,23459
TATASTEEL,PUT VOL,,,,16821
TATASTEEL,PUT OI,,,,17606
